name	smiles	heuristic
rxn:4:195017:229321	CCc1nc(-c2ccoc2Cl)cs1	0.058598
rxn:4:195530:223460	Cc1nc(-c2csc(C(C)(C)F)n2)c[nH]1	0.056870
rxn:4:217912:228230	Clc1cc(-c2cnn[nH]2)cnc1C1CC1	0.056380
rxn:4:216413:229114	CCc1nc(-c2cc(C)ncc2F)n[nH]1	0.054379
rxn:4:215312:229320	N#CCn1cc(-c2cc(F)cs2)cn1	0.054114
rxn:4:207973:223442	CNc1ccc(-c2nc(C#N)co2)cc1	0.053686
rxn:4:195275:229284	c1cncc(-c2ncsc2C2CC2)c1	0.053394
rxn:4:211250:229076	Cc1cc(C#N)sc1-c1nc(C)c(C)[nH]1	0.053202
rxn:4:205191:229231	CCCn1nccc1-c1cnc(CC)s1	0.052954
rxn:4:191374:223467	N#CCc1c(F)cc(F)cc1-c1ncc[nH]1	0.052671
rxn:4:216569:228921	CC(C)c1[nH]nnc1-c1ccc(C(F)F)nc1	0.052585
rxn:4:208519:223471	Clc1cc(-c2cnn[nH]2)nc(C2CC2)n1	0.052370
rxn:4:198109:229067	CCc1ncc(-c2nc(C)co2)cn1	0.051758
rxn:4:194903:228788	COc1ccc(Cl)cc1-c1conc1OC	0.051624
rxn:4:205307:223449	CCn1cc(-c2cc(=O)[nH]cc2F)nc1OC	0.051615
rxn:4:211107:228734	COc1nccc(C)c1-c1nnco1	0.051317
rxn:4:217916:228152	CCOc1ccc(Cl)cc1-c1cnnnc1	0.051286
rxn:4:212273:223464	c1cc(-c2cnc3c(n2)CCCC3)c[nH]1	0.051037
rxn:4:191437:229048	CCCc1ncc(-c2cnn3c2CCC3)s1	0.050986
rxn:4:208364:229238	CCc1cnc(-c2ccsc2SC)nc1	0.050860
rxn:4:208129:228736	COc1nc(C)ccc1-c1csc(S(N)(=O)=O)n1	0.050718
rxn:4:176583:229342	O=S(=O)(CCF)c1ccc(-c2cnsc2)cc1	0.050485
rxn:4:207976:228779	COc1ccc(F)cc1-c1csc(C#N)n1	0.050138
rxn:4:198081:227575	COc1ccc(OC)c(-c2ncco2)c1F	0.050089
rxn:4:211155:229276	Clc1cnc(-c2cncnc2Cl)cn1	0.050048
rxn:4:208354:223345	CN(C)c1nc(-c2cccc3c2NC(=O)C3)cs1	0.050014
rxn:4:211149:229136	Fc1cc(Cl)cc(-c2ccc(F)nn2)c1	0.049793
rxn:4:205360:229283	FC(F)(F)c1n[nH]c(C2CC2)c1-c1ccncc1	0.049503
rxn:4:204966:228921	N#CCc1ncc(-c2ccc(C(F)F)nc2)s1	0.049479
rxn:4:208255:227067	CCc1cnc(-c2ccc(OC)cc2C2CC2)[nH]1	0.049461
rxn:4:208743:229302	CC(C)(C)c1nnc(-c2ccnnc2)s1	0.049304
rxn:4:216473:228548	CCCc1cncc(-c2nsc(N(C)C)n2)c1	0.049047
rxn:4:211238:228864	CCOc1ncc(-c2cn(C)nc2C)cn1	0.049034
rxn:4:191335:229225	CCn1cc(-c2ccc(Cl)c(CC#N)c2)cn1	0.048984
rxn:4:208344:228793	COc1cc(Cl)cc(-c2cnn(C3CC3)c2)c1	0.048866
rxn:4:198374:229276	O=C1CCc2nc(-c3cnc(Cl)cn3)sc21	0.048807
rxn:4:198080:228481	FC(F)(F)c1cc(-c2cnco2)ccn1	0.048807
rxn:4:216878:229012	CC(C)c1ccsc1-c1nc(C(C)C)n(C)n1	0.048720
rxn:4:205212:223465	COC(=O)c1cc(-c2ccn[nH]2)nn1C	0.048663
rxn:4:211197:228160	CCOc1cccc(F)c1-c1nn(C)cc1F	0.048335
rxn:4:195033:228991	CCCc1sccc1-c1ccnc(CF)c1	0.048272
rxn:4:195046:228566	CC(C)Cc1sccc1-c1csc(S(C)(=O)=O)n1	0.048244
rxn:4:208702:228887	CCn1cc(C)c(-c2cc(C#N)ncc2Cl)n1	0.048165
rxn:4:216600:222420	CC(C)c1ncnc(-c2ccccc2S(N)(=O)=O)n1	0.048008
rxn:4:188418:229344	CCOc1c(C#N)cc(F)cc1-c1cocn1	0.047993
rxn:4:216414:228575	CCn1ncnc1-c1ccc(C#N)c(C)c1	0.047871
rxn:4:195019:228324	CCc1cc(-c2cc(OC)ncc2OC)on1	0.047768
rxn:4:208357:227762	COc1[nH]nc(C)c1-c1cccc(Cl)c1C(F)(F)F	0.047646
rxn:4:192024:229309	Cc1ncc(-c2cc(OC3COC3)ccn2)o1	0.047499
rxn:4:216466:228516	CCc1cc(C)cc(-c2cn(C3CC3)nn2)c1	0.047415
rxn:4:188704:229204	CCOC(=O)c1[nH]c(C)cc1-c1ccsc1CC	0.047370
rxn:4:195737:229177	COc1cnc(-c2c(F)cncc2F)c(C)c1	0.047277
rxn:4:195688:228609	COc1cc(-c2cc(S(N)(=O)=O)ccc2F)ccc1C	0.047264
rxn:4:198244:228323	CCOc1nccc(-c2cncc(C)c2Cl)c1F	0.047258
rxn:4:195301:228682	CCCc1ncncc1-c1cc(Cl)c(OC)cn1	0.047232
rxn:4:208816:228625	CCc1ccc(-c2cc(C)c(S(N)(=O)=O)cn2)c(F)c1	0.047218
rxn:4:208719:229054	COCc1cc(-c2cnc(C3COC3)nc2)cs1	0.047151
rxn:4:191644:228975	CCOc1cccnc1-c1cnn(C(F)(F)F)c1	0.047132
rxn:4:179352:223439	FC(F)(F)c1cc(-c2cccc(OC3COC3)c2)n[nH]1	0.047119
rxn:4:208299:227719	NS(=O)c1cncc(-c2ccc(Cl)c(OC(F)F)c2)c1	0.047107
rxn:4:186084:229342	CCOc1cc(C#N)cc(-c2cnsc2)c1OC	0.047070
rxn:4:198247:228617	COc1cccc(C)c1-c1cc(C)ncc1Cl	0.047030
rxn:4:211137:222900	Cc1nsc(-c2csc(CNC(=O)OC(C)(C)C)c2)n1	0.047019
rxn:4:191659:228793	COCc1cccnc1-c1cc(Cl)cc(OC)c1	0.046958
rxn:4:211110:223394	c1cc(-c2ncns2)c2[nH]ccc2c1	0.046949
rxn:4:211152:227979	COc1cc(C)cc(C)c1-c1cncc(F)n1	0.046948
rxn:4:195520:229047	CCc1ccc(-c2c(C)sc(C)c2C)cn1	0.046919
rxn:4:208111:227352	COC(=O)c1ccc(C)cc1-c1cnc(OC)[nH]1	0.046830
rxn:4:198073:227339	COC(=O)c1cc(C)ccc1-c1ccns1	0.046786
rxn:4:207976:227046	Cc1cc(OC(C)C)cc(-c2csc(C#N)n2)c1	0.046739
rxn:4:211153:227960	Fc1nccnc1-c1ccncc1C1CCC1	0.046722
rxn:4:216413:227225	CCc1nc(-c2ccc(SCC(C)C)nc2)n[nH]1	0.046713
rxn:4:209646:223455	c1cnc(-c2cnn(C3CCCCC3)c2)cn1	0.046673
rxn:4:211230:223285	Cc1cc(-c2ccccc2NS(C)(=O)=O)nc(Cl)n1	0.046500
rxn:4:192137:229141	COCc1cnc(-c2ccc(F)cc2Cl)c(C)c1	0.046497
rxn:4:198105:226560	CCOc1cc(F)c(-c2cc(C)on2)cc1OC	0.046478
rxn:4:181454:229147	COCn1ccc(-c2cc(C)cc(F)c2OC)n1	0.046471
rxn:4:205491:229315	Cc1ncoc1-c1cncc(C(=O)N(C)C)c1	0.046446
rxn:4:179578:229243	COCc1cc(-c2cn(C)nc2C)c(C)cc1F	0.046365
rxn:4:208723:228499	Cn1nc(C(F)(F)F)cc1-c1ccc(S(C)(=N)=O)nc1	0.046321
rxn:4:215420:228747	CCC(C)n1cnnc1-c1c(F)cccc1C#N	0.046315
rxn:4:216566:228148	COc1cccc(-c2cn(C(C)C)nn2)c1OC	0.046261
rxn:4:194907:228831	CSc1ncc(-c2ccc(F)c(C)c2Cl)s1	0.046247
rxn:4:216378:223128	N#Cc1cnc(-c2ccc(CNC3CC3)c(F)c2)cn1	0.046228
rxn:4:188062:229346	CCOC(=O)c1cnoc1-c1cnon1	0.046206
rxn:4:208013:228322	CCOc1ncc(-c2ccnc(C#N)c2)cc1F	0.046153
rxn:4:217043:229338	Clc1ncc(-c2ccns2)c(N2CCCC2)n1	0.046127
rxn:4:208017:228170	CCOc1ccc(F)cc1-c1cc(C#N)ccn1	0.046114
rxn:4:198278:229124	Cc1ncc(-c2nccc(F)c2C)cc1F	0.046110
rxn:4:196519:223438	FC(F)(F)c1[nH]ncc1-c1ccc(C2CCOC2)nc1	0.046070
rxn:4:211143:222996	Fc1ccc(-c2cnnc(Cl)c2)c(C2CCCNC2)c1	0.046067
rxn:4:208471:228697	COCc1cc(-c2cc(C#N)n(C)c2C)ccn1	0.046043
rxn:4:181102:223346	COc1cc(-c2ccc3c(c2)CNC3=O)c(F)cc1Cl	0.046040
rxn:4:189071:229299	Cn1ccc(-c2ccc(OCC3CCC3)nc2)n1	0.046025
rxn:4:196207:223421	CNC(C)c1ccc(-c2cnc(C3CCCC3)s2)s1	0.046023
rxn:4:203280:229255	CCN(CC)c1cncc(-c2ccncc2F)c1	0.046017
rxn:4:194983:229290	Cc1sccc1-c1c(F)ccc(F)c1C#N	0.045973
rxn:4:191340:223349	N#CCc1cccc(Cl)c1-c1cccc2c1C(=O)NC2	0.045926
rxn:4:220592:227892	CC(C)n1nnc(-c2ccc(CN(C)C)cc2)n1	0.045892
rxn:4:217032:229268	Cc1cc(-c2ncnc(C3CCCC3)n2)sc1Cl	0.045892
rxn:4:192037:229283	N#CC1(c2ccc(-c3ccncc3)cc2)CC1	0.045773
rxn:4:195263:228173	CCOc1cc(F)ccc1-c1csc(C2CC2)n1	0.045742
rxn:4:177300:229310	Cc1nc(-c2c(F)cccc2OCC(C)C)cs1	0.045681
rxn:4:208288:229006	CSc1ccc(-c2ncc(C(F)F)n2C)cc1	0.045666
rxn:4:196173:223440	Cc1cc(Cl)cc(-c2ccc(C3CC3)[nH]2)c1S(N)(=O)=O	0.045662
rxn:4:208346:227902	CCc1cc(-c2cncn2C2CC2)ccc1C#N	0.045628
rxn:4:198279:228133	Cc1c(Cl)cncc1-c1ccc(F)c(CC#N)c1	0.045593
rxn:4:208512:228543	CCCCc1ccsc1-c1cnc(C)nc1OC	0.045569
rxn:4:198329:223269	CC(=O)Nc1ccc(-c2cc(C)nc(C)c2F)cc1F	0.045508
rxn:4:198561:228691	CCOc1ccc(-c2nc3c(s2)C(=O)CCC3)cn1	0.045397
rxn:4:215387:229082	CN(C)c1csc(-c2cnc(C3(C#N)CC3)nc2)c1	0.045277
rxn:4:191325:228154	COC(=O)c1ccc(-c2c(OC)cccc2OC)[nH]1	0.045203
rxn:4:203040:229002	CCOC(C)n1ccc(-c2ccc(OC)cc2)n1	0.045162
rxn:4:196907:229340	O=C1CCN(c2cccc(-c3ncco3)c2)CC1	0.045077
rxn:4:211195:226355	COc1cc(Cl)c(-c2c(F)ncn2C)cc1C1CC1	0.045039
rxn:4:208739:228413	COc1cc(-c2cn(C)nc2C2CC2)c(Cl)cc1F	0.045039
rxn:4:209469:223437	N#Cc1cc(-c2cccnc2N2CCCC2)cc(=O)[nH]1	0.045038
rxn:4:216586:223201	c1ccc(C2CCNC2)c(-c2nc(C3CCC3)n[nH]2)c1	0.044984
rxn:4:215419:228372	CC(C)Cn1cnnc1-c1cc(F)c(C#N)cc1F	0.044957
rxn:4:191646:228485	CCOc1ccc(-c2ccncc2C(F)(F)F)nc1	0.044910
rxn:4:205123:229023	COc1cncc(-c2cnc(C)cc2C)c1C#N	0.044884
rxn:4:208496:228267	COc1cc(-c2c(F)ccc(C)c2OC)nc(C)n1	0.044880
rxn:4:211864:228197	CC(C)(C)c1ncc(-c2n[nH]c3c2COCC3)cn1	0.044823
rxn:4:177402:223463	FC(F)(F)Oc1ccc(-c2ccc[nH]2)cc1C1OCCO1	0.044807
rxn:4:182855:229147	COCn1ccc(-c2ccc(F)c3c2C(=O)CC3)n1	0.044784
rxn:4:196006:223455	CC(=O)c1cnc(-c2cnccn2)c(C)c1	0.044765
rxn:4:211201:222920	Cc1cc(S(=O)(=O)NC2CC2)ccc1-c1cnc(F)n1C	0.044713
rxn:4:183044:229146	COCn1cc(-c2cc3c(cc2C)OCCO3)cn1	0.044666
rxn:4:205293:226411	c1cc(N2CCOCC2)ccc1-c1c[nH]nc1CC1CC1	0.044656
rxn:4:196045:228599	COc1ccc(-c2ccnc(C(C)C)c2)cc1C	0.044639
rxn:4:198092:224586	CC1CCN(Cc2ccc(F)cc2-c2ccc[nH]2)CC1	0.044633
rxn:4:215327:225514	COCc1n[nH]c(-c2cccc3c2OCC2(CC2)CO3)n1	0.044599
rxn:4:217025:223354	CNC(=O)c1ccc(-c2ccnc(N3CCCC3)n2)cc1	0.044589
rxn:4:189287:223440	COc1ccc(-c2ccc(C3CC3)[nH]2)c(C(=O)N(C)C)c1	0.044582
rxn:4:195681:227980	NS(=O)(=O)c1ccc(Cl)cc1-c1ccc(C2CC2)cc1F	0.044550
rxn:4:194944:228115	CC(C)Oc1ccc(-c2cc(Cl)cc(C#N)c2)cn1	0.044542
rxn:4:208995:223228	CCC(=O)Nc1ccc(-c2cnccc2N2CCC2)cc1	0.044516
rxn:4:205005:228387	COc1cc(=O)n(C)cc1-c1ccn(CC(F)F)n1	0.044486
rxn:4:211189:226355	COc1cc(Cl)c(-c2ncc(Cl)n2C)cc1C1CC1	0.044482
rxn:4:208198:225528	CCN(CC)C(=O)c1ccccc1-c1cc(C#N)[nH]c1C	0.044472
rxn:4:188341:229277	CCOC(=O)c1onc(-c2cnn(C)c2Cl)c1C	0.044399
rxn:4:215339:228120	CCOc1ncc(C)cc1-c1cnn(CC)c1C#N	0.044362
rxn:4:211272:227773	Cc1nc(-c2cccnc2OC(F)(F)F)n(C)c1C	0.044346
rxn:4:208302:228082	Cc1nc(C#N)ccc1-c1ccnn1CCC(C)C	0.044298
rxn:4:208815:228116	Cc1nc(-c2cccnc2OC(C)C)ccc1S(N)(=O)=O	0.044297
rxn:4:178973:228309	COCc1ccccc1-c1cc(C#N)nc(OC)c1	0.044286
rxn:4:192458:229005	CCC(C)c1cnccc1-c1ccccc1OC	0.044282
rxn:4:182233:229207	COC1CCc2ccc(-c3ccnc(C)c3)cc21	0.044278
rxn:4:195488:229250	Cc1cncc(-c2c(C#N)ccc(F)c2C)n1	0.044247
rxn:4:214459:228574	Cc1ccc(-c2ccn(CCN(C)C)n2)c(C#N)c1	0.044241
rxn:4:220985:229013	c1nc(-c2sccc2C2CC2)c2cn[nH]c2n1	0.044193
rxn:4:205444:228872	CCC(C)n1cncc1-c1ccsc1C(=O)OC	0.044177
rxn:4:209191:228159	CCOc1cc(-c2c(C)nn(CC)c2C)ccc1F	0.044169
rxn:4:210150:223468	COc1cc(-c2c[nH]cn2)c2ccnn2c1	0.044151
rxn:4:212181:227914	Cc1nc2n(c1-c1ccccc1OC(C)C)CCC2	0.044145
rxn:4:182760:229221	Cc1cc(C)c(-c2cccc3c2C=CS3(=O)=O)s1	0.044101
rxn:4:181354:229070	COc1ccc(-c2cc(C(C)(F)F)ccc2F)cn1	0.044100
rxn:4:192710:223440	Clc1cc(-c2ccc(C3CC3)[nH]2)ccc1CN1CCC1	0.044074
rxn:4:209286:228741	Cc1nc(N(C)C)ccc1-c1cc(C#N)ccc1Cl	0.044053
rxn:4:216504:228527	FC1(F)CC1n1ncc(-c2cccc3c2OCC3)n1	0.043958
rxn:4:181687:228688	CCOc1cnccc1-c1cc(OC)c(C)cc1C	0.043951
rxn:4:178617:228138	N#CCc1ccc(-c2cccc(OCF)c2)cc1F	0.043932
