name	smiles	heuristic
rxn:1:63857:7279	CC[C@H](N)c1cn(CC2(C)COC2)nn1	0.053003
rxn:1:57146:8770	N#Cc1ccc(CCCn2cc(CN)nn2)s1	0.050778
rxn:1:40192:2061	CC1(n2cc(C(=O)C3(N)CCC3)nn2)CC1	0.047894
rxn:1:59994:11683	CCC(O)c1cn([C@@H]2CCOC[C@H]2O)nn1	0.047622
rxn:1:63575:7135	CC(O)c1cn(CC2CCC(=O)O2)nn1	0.047597
rxn:1:61932:37712	CC1=C(c2csc(-c3cn(C(C)C)nn3)n2)CCC1O	0.047185
rxn:1:63004:38323	C[C@H](c1ccc(F)cc1F)n1cc([C@H]2C[C@H]2CO)nn1	0.046682
rxn:1:52157:32202	O=C1CC=CC(c2cn(Cc3cn[nH]c3)nn2)=N1	0.046624
rxn:1:65145:28925	OCCCc1ccc(-c2cn(C3COC3)nn2)cc1	0.046440
rxn:1:49408:39283	N[C@H]1CC[C@@H](n2cc(C(=O)C3CCC3)nn2)CC1	0.045900
rxn:1:61931:39611	CNC(=O)Cn1cc(C2(c3ccccc3)CCC2)nn1	0.045772
rxn:1:57557:1728	Cc1ccc(-n2cc(C3CC(F)(F)C3)nn2)cc1	0.045468
rxn:1:62140:22615	CC(=O)c1ccccc1-c1cn(C(F)F)nn1	0.045324
rxn:1:55970:4644	CCCC(CCO)c1cn(C2CCCC(C)C2)nn1	0.045174
rxn:1:65675:23186	Cc1ccc(C=CCn2cc([C@H]3C[C@H]3C#N)nn2)s1	0.045149
rxn:1:41525:38444	NS(=O)(=O)CCCc1cn(-c2cc(Cl)ccc2F)nn1	0.044935
rxn:1:50981:31589	Cc1nc(C(F)F)sc1-c1cn(C[C@@H](O)C(C)(C)C)nn1	0.044827
rxn:1:47325:2513	Cc1nn(C)c(-c2cn([C@@H](C)C(=O)O)nn2)c1N	0.044730
rxn:1:40911:12212	Cn1nncc1-n1cc([C@H]2CNC[C@H]2F)nn1	0.044482
rxn:1:51722:39261	CC1(O)CCCC1n1cc(C(N)C2CCCCC2)nn1	0.044467
rxn:1:49418:39283	N[C@H]1CC[C@H](Cn2cc(C(=O)C3CCC3)nn2)CC1	0.044174
rxn:1:60913:39328	CC=Cc1cn(Cc2nc(N)nc(N(C)C)n2)nn1	0.044075
rxn:1:61027:38613	COC(=O)CCn1cc(CC2(O)CCC2)nn1	0.043978
rxn:1:42204:5458	CC(c1ccccc1Cl)n1cc(COCC(N)=O)nn1	0.043791
rxn:1:55882:31045	Cn1cc(-c2cn(CC3(CO)COC3)nn2)c(F)n1	0.043768
rxn:1:51026:2539	Cc1cn(C)nc1-c1cn(C[C@H](O)C2CCOC2)nn1	0.043705
rxn:1:48866:12018	CC(=O)CCc1cn(Cc2ccc(F)cc2C)nn1	0.043649
rxn:1:48859:18710	CC(O)n1cc(-c2cn(CC3CCC3)nn2)c(C2CC2)n1	0.043622
rxn:1:61530:24168	CC(Cc1cn(C(C)(C)C(=O)O)nn1)C(N)=O	0.043382
rxn:1:53463:12177	Cc1ccc(-n2cc(C3CC(C)(C(F)F)C3)nn2)cn1	0.043303
rxn:1:61693:1719	CCCC(C)C(C)n1cc([C@H]2COC(C)(C)O2)nn1	0.043274
rxn:1:57360:39726	C=Cc1cn(CCCc2cnc(Cl)nc2C)nn1	0.043168
rxn:1:61968:31854	CO[C@@H](C)[C@H](N)c1cn([C@@H]2CNC(=O)C2)nn1	0.042904
rxn:1:65649:6553	NCC(F)CCCc1cn(CC(=O)O)nn1	0.042891
rxn:1:62264:28120	CC[C@H](C)[C@H](C(=O)O)n1cc([C@@H]2C[C@@H]2COC)nn1	0.042802
rxn:1:49499:39283	O=C(c1cn(C[C@H]2C[C@H](C(=O)O)C2)nn1)C1CCC1	0.042678
rxn:1:61114:95	Cc1occc1-c1cn(CC(=O)N2CC(F)(F)C2)nn1	0.042574
rxn:1:55739:32710	Oc1cnc(-c2cn(CC3COCCC3(F)F)nn2)c(F)c1	0.042541
rxn:1:62510:32459	CC[C@@H](c1ccc(F)cc1)n1cc([C@](C)(O)COC)nn1	0.042253
rxn:1:61517:3361	CC(C)c1cnn(Cc2cn(CC3(F)CCC3)nn2)c1	0.042176
rxn:1:58126:12149	CCN(CCn1cc([C@H]2C[C@H]2N)nn1)c1ccccc1F	0.041906
rxn:1:61386:11767	O=C(O)[C@H]1CC[C@H](c2cn(CCn3nccn3)nn2)CC1	0.041861
rxn:1:49352:28636	Cc1nccn1[C@@H]1CCC[C@@H]1n1cc(CCC(C)(C)N)nn1	0.041824
