name	smiles	heuristic
rxn:1:56562:32445	CCC(C)n1cc(-n2cc(Cl)c(Cl)n2)nn1	0.053250
rxn:1:49004:1534	Cc1ccc(C(O)Cn2cc([C@H](C)O)nn2)s1	0.050852
rxn:1:57084:1534	C[C@H](O)c1cn(CCCc2ccc(Cl)nn2)nn1	0.049237
rxn:1:44914:2249	COC(C)Cn1cc(C2(N)CCC(C)CC2)nn1	0.049168
rxn:1:60607:11725	CC(C)c1n[nH]cc1Cn1cc(C2CCCO2)nn1	0.048099
rxn:1:43586:12214	CCN1C[C@@H](F)[C@H](c2cn(C3CCC3O)nn2)C1	0.047987
rxn:1:59957:37807	CC(C(=O)O)c1cn([C@@H](C)CC(=O)O)nn1	0.047399
rxn:1:55213:1831	C[C@@H](O)c1cn(CC2CC2c2c(F)cccc2F)nn1	0.046736
rxn:1:60729:2582	O[C@H](Cn1cc(C2(CF)CC2)nn1)C1CCOC1	0.046671
rxn:1:64885:3680	OC1CCCC1n1cc(CNc2ncco2)nn1	0.046594
rxn:1:40941:37714	N#CCC1(Cn2cc(-c3c(Cl)ccnc3N)nn2)CC1	0.046559
rxn:1:40159:8754	COc1ccc(Cl)c(-n2cc(C(C)(C)C(N)=O)nn2)c1	0.046497
rxn:1:60213:10564	CC(C)(C(=O)O)S(=O)Cc1cn(C2CCC2F)nn1	0.046097
rxn:1:44704:23183	CCc1ccc(-n2cc([C@H]3C[C@H]3C(=O)NC)nn2)cc1	0.045959
rxn:1:61558:3295	CCn1cnc(-c2cn([C@@H]3CCOC[C@H]3N)nn2)c1	0.045679
rxn:1:57018:809	O=C1NC(c2cn(CCCc3ccc(Cl)o3)nn2)CO1	0.045575
rxn:1:51613:5566	CC(C)(O)Cn1cc(C(C)(C)Oc2ccccc2)nn1	0.045485
rxn:1:58643:23223	NCCCc1ccccc1-n1cc([C@@H]2CCOC2)nn1	0.044935
rxn:1:53452:12010	CC(C)(C)C(O)c1cn(C2CC3CCC2(N)C3)nn1	0.044926
rxn:1:60710:4284	Cc1ccc(Cl)cc1-c1cn(C[C@H](O)C2CCOC2)nn1	0.044827
rxn:1:61530:3040	CC(C)(C(=O)O)n1cc(-c2ccncc2C(F)(F)F)nn1	0.044727
rxn:1:42445:1394	CCOC(=O)C(F)(F)n1cc(C2(O)CSC2)nn1	0.044449
rxn:1:61268:32459	COC[C@@](C)(O)c1cn(C2CN(C3CCC3)C2)nn1	0.044345
rxn:1:59950:39421	N#CC[C@@H](O)Cn1cc(C2(F)CCNC2)nn1	0.044333
rxn:1:56618:1253	O=C1OCCN1CCn1cc(-c2cccc(O)c2Cl)nn1	0.044310
rxn:1:49417:37897	OCc1cccc(F)c1-c1cn(C[C@H]2CCCN2)nn1	0.044202
rxn:1:59969:24167	CC(C)C[C@H](N)c1cn([C@@H]2C[C@@]3(C(=O)O)C[C@@H]23)nn1	0.044054
rxn:1:40136:11755	CNC(=O)CCn1cc(C2CCCN2C(C)=O)nn1	0.044044
rxn:1:59554:39373	Cc1csc(NC(=O)Cn2cc(CC(C)N)nn2)n1	0.043895
rxn:1:51853:26727	COCCc1cn(Cc2cc(C(C)(C)C)no2)nn1	0.043342
rxn:1:60200:18477	CCc1cn(Cc2cn(S(=O)(=O)F)nn2)nc1O	0.043249
