name	smiles	heuristic
rxn:2:79293:95582	CC(C)C[C@H](C)NC(C)c1cocn1	0.056182
rxn:2:116427:130805	c1nc2c(o1)CCC2NC1CCSCC1	0.055668
rxn:2:122261:116773	Cc1ccnnc1NC(C)c1scnc1C	0.055425
rxn:2:117817:71213	Cc1nocc1C(C)NC1(C)CC1(C)C	0.055312
rxn:2:123011:122245	COc1nscc1CNC(C)c1csnn1	0.055276
rxn:2:103136:102485	CCC(Nc1c[nH]c(C)n1)C1(C)CC1	0.055110
rxn:2:104270:139295	COc1cn(C)nc1NC1CC2CC(C2)C1	0.053031
rxn:2:114903:86871	CC1CC(NCC(C)(C)C)CC(C)O1	0.052700
rxn:2:132762:72533	C[C@H](NC1CCC2(C)CC12)c1c[nH]nn1	0.052681
rxn:2:99083:126663	O=S1(=O)CCC(NC2CCC3CC32)C1	0.052283
rxn:2:82635:108765	Cc1ccc(NC2CCC3C2C3(F)F)nc1	0.052195
rxn:2:81857:116153	CCC(NC[C@H]1C[C@@H](F)C1)c1ccnnc1	0.051982
rxn:2:134011:68767	Cc1cc(C(C)NC(C)c2cc(C)on2)on1	0.051895
rxn:2:80860:81864	C[C@H]1CCC(NCCC2CC(F)C2)CO1	0.051770
rxn:2:98041:123598	CCC(CC1CCCO1)Nc1ncccn1	0.051747
rxn:2:71263:72604	CC1CSCC(NC2CC3CCC2C3)C1	0.051689
rxn:2:71119:107821	COCCC(C)NC1CC1c1sccc1C	0.051493
rxn:2:136792:124238	C[C@@H](NC1CSCc2ccccc21)c1cscn1	0.051287
rxn:2:107468:90094	Cc1nccc(C(C)NC2CC[C@H]3CC[C@@H]23)n1	0.051098
rxn:2:74279:138205	FC1(F)CC1NC1CCCC(C2CC2)C1	0.050859
rxn:2:112056:94404	Cc1ncc(C(C)NCCC2CCC3CC23)s1	0.050844
rxn:2:130367:130414	CC(NCC12CC(CCO1)C2)c1ncccn1	0.050558
rxn:2:137903:107360	Cc1n[nH]c(NC2c3ccoc3SC2(C)C)n1	0.050440
rxn:2:136172:79380	Cn1cc(NC2CCC3(CC[C@@H](F)C3)C2)cn1	0.050399
rxn:2:77268:93969	CC1(C)CC(Nc2nc3cn[nH]cc-3n2)C1	0.050371
rxn:2:124396:82937	F[C@H]1CCC[C@@H](NC(c2cccs2)C2CC2)C1	0.050154
