name	smiles	heuristic
rxn:3:59937:3886:111034	CC1CC1(C)NC(=O)C12CCC(n3cc(C4CN(C)C4)nn3)C1C2	0.037939
rxn:3:62154:39619:68655	CCC1(CNC(=O)[C@H](C)n2cc(CN3CCCCC3C)nn2)CCCCO1	0.029292
rxn:3:52745:11968:105553	Cc1ccc(C(=O)NC2(C)CC2)cc1C1CC1CCn1cc(CC2CC2)nn1	0.026956
rxn:3:48005:23144:106494	COCC(NC(=O)c1sccc1-n1cc(C2CN(C(C)C)C2)nn1)C1CCC1	0.026203
rxn:3:59969:279:74328	CCC1(CC)CCC(NC(=O)[C@@]23C[C@@H](n4cc(Cc5nncs5)nn4)[C@@H]2C3)CC1	0.025825
rxn:3:59882:35117:115664	C=C(C)c1cn(CCc2ccc(C(=O)NC3(COC)CC4CCC3C4)cc2)nn1	0.025660
rxn:3:49156:31186:96270	COCC(C(=O)NCC(F)C1CCC1)n1cc(C2CCN(C3CC3)CC2)nn1	0.024834
rxn:3:55883:3157:106588	CC(F)(F)C(C)(C)c1cn(CC2CC2c2cccc(C(=O)N[C@@H]3CC[C@@H]3F)n2)nn1	0.024699
rxn:3:61929:1298:125376	C[C@H](C(=O)NC1CCC(C)(S(C)(=O)=O)CC1)n1cc(-c2cnc(C(F)(F)F)s2)nn1	0.024260
rxn:3:59818:3295:132259	CCn1cnc(-c2cn(-c3ccc(F)c(C(=O)N[C@H](C)[C@@H](C)OC)c3)nn2)c1	0.024070
rxn:3:49156:29675:103220	CC[C@H](NC(=O)C(COC)n1cc(-c2cc(F)cc(F)c2C2CC2)nn1)C1CC1	0.023914
rxn:3:58119:23148:108745	O=C(N[C@@H]1C[C@@H]1F)c1ccc(F)cc1CCCn1cc(C2CN(CCF)C2)nn1	0.023889
rxn:3:42621:31765:115518	C[C@]1(CNC(=O)c2ccccc2Cn2cc(-c3csc(C#N)c3)nn2)CCOC1	0.023372
rxn:3:61524:3087:66403	O=C(NC(C1CC1)C1COCCO1)C1(n2cc(C(F)(F)c3ccccc3)nn2)CCCC1	0.022113
rxn:3:58131:12099:133399	CCCc1cn(CCCc2cccc(C)c2C(=O)NC2(C)CC(C)(C)CC2C)nn1	0.021907
rxn:3:62737:39395:134640	CC[C@@H](C(=O)NCC1CC2CCC1C2)N1CC(Cn2cc(-c3cncs3)nn2)CC1=O	0.021880
rxn:3:40562:2099:127475	CC(c1cn(CC=Cc2ccnc(C(=O)NC[C@H]3CCCC[C@H]3F)c2)nn1)C1CCC1	0.021726
rxn:3:60588:23152:126202	CC(C)C[C@H](C(=O)NC(C)C1Cc2ccccc21)n1cc(CC2CN(C(C)C)C2)nn1	0.021596
rxn:3:56470:2577:128225	CC(C)(CF)c1cn(CC2CC2c2cc(F)c(C(=O)NC3C[C@@H]4CC[C@H]4C3)cc2F)nn1	0.021254
rxn:3:50431:3886:79075	CO[C@H]1C[C@H](CNC(=O)c2ccc(C3C(Cn4cc(C5CN(C)C5)nn4)C3(F)F)cn2)C1	0.020841
rxn:3:48101:6377:105211	Cc1ncnc(-c2cn(-c3cccc(OCC(=O)NC4CSCSC4)c3)nn2)c1C	0.020753
rxn:3:57881:38604:110352	CCNC(=O)c1cncc(CCCn2cc(C3(c4ccccn4)CCCC3)nn2)c1	0.020750
rxn:3:64740:2503:110652	CSc1cn(CC2CC(=O)N(c3ccc(C(=O)NC4CC5CCC(C4)C5F)nn3)C2)nn1	0.020612
