name	smiles	heuristic
rxn:4:198086:229271	COc1cc(-c2scnc2Cl)sn1	0.061442
rxn:4:198086:229272	COc1ncc(-c2scnc2Cl)s1	0.061442
rxn:4:207974:223465	N#Cc1ncsc1-c1ccn[nH]1	0.059487
rxn:4:198100:229271	COc1cc(-c2scnc2C)sn1	0.059008
rxn:4:198100:229272	COc1ncc(-c2scnc2C)s1	0.059008
rxn:4:198087:229304	Clc1nc(-c2ccncn2)cs1	0.058674
rxn:4:207974:229342	N#Cc1ncsc1-c1cnsc1	0.058063
rxn:4:207974:229329	N#Cc1ncsc1-c1cnc(Cl)s1	0.057912
rxn:4:194899:229271	COc1cc(-c2scnc2OC)sn1	0.057721
rxn:4:194899:229272	COc1ncc(-c2scnc2OC)s1	0.057721
rxn:4:195024:229271	CCc1ncsc1-c1cc(OC)ns1	0.057634
rxn:4:195024:229272	CCc1ncsc1-c1cnc(OC)s1	0.057634
rxn:4:216366:229271	COc1cc(-c2c[nH]nc2C#N)sn1	0.057551
rxn:4:216366:229272	COc1ncc(-c2c[nH]nc2C#N)s1	0.057551
rxn:4:198086:229226	N#Cc1ccc(-c2scnc2Cl)s1	0.057498
rxn:4:198087:229228	N#Cc1sccc1-c1csc(Cl)n1	0.057498
rxn:4:198129:229233	COc1ccc(-c2nc(Cl)sc2C)s1	0.057293
rxn:4:195020:229235	CCc1csc(-c2sccc2OC)n1	0.056996
rxn:4:216366:229234	CSc1ccc(-c2c[nH]nc2C#N)s1	0.056657
rxn:4:198086:229234	CSc1ccc(-c2scnc2Cl)s1	0.056643
rxn:4:198087:229165	COc1nccc(-c2csc(Cl)n2)n1	0.056413
rxn:4:195017:229304	CCc1nc(-c2ccncn2)cs1	0.056137
rxn:4:195020:229304	CCc1csc(-c2ccncn2)n1	0.056137
rxn:4:194899:229226	COc1ncsc1-c1ccc(C#N)s1	0.056034
rxn:4:198087:229244	Cc1nccc(-c2csc(Cl)n2)n1	0.055993
rxn:4:195020:229283	CCc1csc(-c2ccncc2)n1	0.055949
rxn:4:207974:229231	CCc1ncc(-c2scnc2C#N)s1	0.055930
rxn:4:207978:229271	COc1cc(-c2ncsc2C#N)sn1	0.055877
rxn:4:207980:229271	COc1cc(-c2csnc2C#N)sn1	0.055877
rxn:4:207970:229271	COc1cc(-c2nc(C#N)cs2)sn1	0.055877
rxn:4:207971:229271	COc1cc(-c2ncc(C#N)s2)sn1	0.055877
rxn:4:207972:229271	COc1cc(-c2cnc(C#N)s2)sn1	0.055877
rxn:4:207976:229271	COc1cc(-c2csc(C#N)n2)sn1	0.055877
rxn:4:207978:229272	COc1ncc(-c2ncsc2C#N)s1	0.055877
rxn:4:207980:229272	COc1ncc(-c2csnc2C#N)s1	0.055877
rxn:4:207970:229272	COc1ncc(-c2nc(C#N)cs2)s1	0.055877
rxn:4:207971:229272	COc1ncc(-c2ncc(C#N)s2)s1	0.055877
rxn:4:207972:229272	COc1ncc(-c2cnc(C#N)s2)s1	0.055877
rxn:4:207976:229272	COc1ncc(-c2csc(C#N)n2)s1	0.055877
rxn:4:207974:229273	COc1ncsc1-c1scnc1C#N	0.055877
rxn:4:207974:223442	CNc1ccc(-c2scnc2C#N)cc1	0.055834
rxn:4:216366:229011	N#Cc1n[nH]cc1-c1ccc(C2CC2)s1	0.055799
rxn:4:207974:223440	N#Cc1ncsc1-c1ccc(C2CC2)[nH]1	0.055799
rxn:4:198087:228695	CN(C)Cc1cc(-c2csc(Cl)n2)cs1	0.055772
rxn:4:194875:229272	COc1ncc(-c2scnc2C(F)F)s1	0.055744
rxn:4:194875:229271	COc1cc(-c2scnc2C(F)F)sn1	0.055744
rxn:4:195024:229226	CCc1ncsc1-c1ccc(C#N)s1	0.055586
rxn:4:198100:229234	CSc1ccc(-c2scnc2C)s1	0.055510
rxn:4:207974:229311	Cc1ncc(-c2scnc2C#N)s1	0.055484
rxn:4:207974:229306	Cc1cnc(-c2scnc2C#N)s1	0.055484
rxn:4:207974:229313	Cc1cc(-c2scnc2C#N)sn1	0.055484
rxn:4:207987:229319	N#Cc1nc(Cl)sc1-c1ccc(Cl)s1	0.055426
rxn:4:207987:229272	COc1ncc(-c2sc(Cl)nc2C#N)s1	0.055339
rxn:4:207987:229271	COc1cc(-c2sc(Cl)nc2C#N)sn1	0.055339
rxn:4:207986:229271	COc1cc(-c2nc(C#N)c(Cl)s2)sn1	0.055339
rxn:4:207986:229272	COc1ncc(-c2nc(C#N)c(Cl)s2)s1	0.055339
rxn:4:198100:229226	Cc1ncsc1-c1ccc(C#N)s1	0.055282
rxn:4:207974:229293	Cc1cc(-c2scnc2C#N)cs1	0.055282
rxn:4:195028:229233	CCc1nc(Cl)sc1-c1ccc(OC)s1	0.055208
rxn:4:207988:229233	COc1ccc(-c2snc(Cl)c2C#N)s1	0.055151
rxn:4:207987:229236	COc1csc(-c2sc(Cl)nc2C#N)c1	0.055151
rxn:4:207987:229235	COc1ccsc1-c1sc(Cl)nc1C#N	0.055151
rxn:4:207987:223421	CNC(C)c1ccc(-c2sc(Cl)nc2C#N)s1	0.054984
rxn:4:195499:229271	COc1cc(-c2scnc2C(C)C)sn1	0.054962
rxn:4:195499:229272	COc1ncc(-c2scnc2C(C)C)s1	0.054962
rxn:4:207987:229317	N#Cc1nc(Cl)sc1-c1ccc(F)s1	0.054961
rxn:4:194899:229234	COc1ncsc1-c1ccc(SC)s1	0.054925
rxn:4:195266:229272	COc1ncc(-c2scnc2C2CC2)s1	0.054904
rxn:4:195266:229271	COc1cc(-c2scnc2C2CC2)sn1	0.054904
rxn:4:204967:229233	COc1ccc(-c2csc(CC#N)n2)s1	0.054847
rxn:4:191436:229271	CCCc1ncsc1-c1cc(OC)ns1	0.054844
rxn:4:191436:229272	CCCc1ncsc1-c1cnc(OC)s1	0.054844
rxn:4:204965:229272	COc1ncc(-c2scnc2CC#N)s1	0.054782
rxn:4:204965:229271	COc1cc(-c2scnc2CC#N)sn1	0.054782
rxn:4:216366:229226	N#Cc1ccc(-c2c[nH]nc2C#N)s1	0.054503
rxn:4:207987:229288	Cc1ccc(-c2sc(Cl)nc2C#N)s1	0.054437
rxn:4:208354:229294	Cc1cc(-c2csc(N(C)C)n2)co1	0.054257
rxn:4:198086:229011	Clc1ncsc1-c1ccc(C2CC2)s1	0.054247
rxn:4:207987:229202	CCc1ccc(-c2sc(Cl)nc2C#N)s1	0.054230
rxn:4:191960:229314	Cc1ncsc1-c1csc(CC(C)C)n1	0.054205
rxn:4:195503:229326	CC(C)c1nc(-c2cnn(C)n2)cs1	0.054171
rxn:4:191436:229226	CCCc1ncsc1-c1ccc(C#N)s1	0.054109
rxn:4:194899:229011	COc1ncsc1-c1ccc(C2CC2)s1	0.054040
rxn:4:195503:229304	CC(C)c1nc(-c2ccncn2)cs1	0.054020
rxn:4:195017:229244	CCc1nc(-c2ccnc(C)n2)cs1	0.053973
rxn:4:195020:229244	CCc1csc(-c2ccnc(C)n2)n1	0.053973
rxn:4:198086:229086	CC(=O)c1ccc(-c2scnc2Cl)s1	0.053764
rxn:4:208218:229332	COc1cc(-c2ccoc2)cnn1	0.053759
rxn:4:195263:229304	c1cc(-c2csc(C3CC3)n2)ncn1	0.053732
rxn:4:207978:229234	CSc1ccc(-c2ncsc2C#N)s1	0.053693
rxn:4:207970:229234	CSc1ccc(-c2nc(C#N)cs2)s1	0.053693
rxn:4:207971:229234	CSc1ccc(-c2ncc(C#N)s2)s1	0.053693
rxn:4:207974:229237	CSc1cc(-c2scnc2C#N)cs1	0.053693
rxn:4:207974:229238	CSc1sccc1-c1scnc1C#N	0.053693
rxn:4:207974:229239	CSc1ccsc1-c1scnc1C#N	0.053693
rxn:4:207980:229234	CSc1ccc(-c2csnc2C#N)s1	0.053693
rxn:4:207972:229234	CSc1ccc(-c2cnc(C#N)s2)s1	0.053693
rxn:4:207976:229234	CSc1ccc(-c2csc(C#N)n2)s1	0.053693
rxn:4:194875:229226	N#Cc1ccc(-c2scnc2C(F)F)s1	0.053667
rxn:4:198222:229233	COc1ccc(-c2ccc(C)nc2)s1	0.053650
rxn:4:208026:229233	COc1ccc(-c2sc(C#N)nc2C)s1	0.053644
rxn:4:208021:229271	COc1cc(-c2nc(C#N)c(C)s2)sn1	0.053641
rxn:4:208021:229272	COc1ncc(-c2nc(C#N)c(C)s2)s1	0.053641
rxn:4:198155:229233	COc1ccc(-c2cc(F)c(Cl)cn2)s1	0.053596
rxn:4:207987:229053	COCc1ccc(-c2sc(Cl)nc2C#N)s1	0.053555
rxn:4:208354:229304	CN(C)c1nc(-c2ccncn2)cs1	0.053511
rxn:4:207979:229271	COc1cc(-c2ocnc2C#N)sn1	0.053472
rxn:4:207983:229271	COc1cc(-c2cnc(C#N)o2)sn1	0.053472
rxn:4:207979:229272	COc1ncc(-c2ocnc2C#N)s1	0.053472
