name	smiles	heuristic
rxn:4:211124:229339	Fc1c[nH]nc1-c1nccs1	0.064099
rxn:4:194877:223470	FC(F)c1nscc1-c1nnc[nH]1	0.062170
rxn:4:195024:229329	CCc1ncsc1-c1cnc(Cl)s1	0.060736
rxn:4:198081:229317	Fc1ccc(-c2ncco2)s1	0.059565
rxn:4:208028:223471	FC(F)n1cncc1-c1cnn[nH]1	0.058503
rxn:4:208258:223466	CCn1cc(-c2cn[nH]c2)nc1F	0.058421
rxn:4:191437:229337	CCCc1ncc(-c2cnco2)s1	0.057978
rxn:4:191977:223468	CCN(C)c1coc(-c2c[nH]cn2)c1	0.057702
rxn:4:198487:223469	c1cc(-c2nc3c(s2)CCC3)n[nH]1	0.057606
rxn:4:211115:229164	COc1cncc(-c2c[nH]cn2)n1	0.056701
rxn:4:191646:223471	CCOc1ccc(-c2cnn[nH]2)nc1	0.056502
rxn:4:208686:229229	CC(C)c1nc(-c2cscc2C#N)c[nH]1	0.055983
rxn:4:198096:223453	Cc1csc(-c2cccnc2)n1	0.055570
rxn:4:194889:223464	FC(F)(F)c1ncc(-c2cc[nH]c2)o1	0.055131
rxn:4:181109:223470	CSc1c(-c2nnc[nH]2)ccc(Cl)c1F	0.054990
rxn:4:195512:229319	CC(C)c1nc(-c2ccc(Cl)s2)co1	0.054958
rxn:4:214423:223464	CC(C#N)Cn1cc(-c2cc[nH]c2)cn1	0.054916
rxn:4:181151:223470	COc1c(F)cc(F)cc1-c1nnc[nH]1	0.054859
rxn:4:211166:223468	Fc1cnc(Cl)nc1-c1c[nH]cn1	0.054569
rxn:4:195512:229332	CC(C)c1nc(-c2ccoc2)co1	0.054399
rxn:4:216366:229148	N#Cc1n[nH]cc1-c1cnn(CCF)c1	0.054369
rxn:4:209201:229301	Cc1[nH]nc(C(C)C)c1-c1cccnn1	0.054167
rxn:4:216563:229291	Cc1csc(-c2cnn(C(C)C)n2)c1	0.054124
rxn:4:195506:229298	CC(C)c1cnc(-c2cnccn2)s1	0.054020
rxn:4:198247:229273	COc1ncsc1-c1cc(C)ncc1Cl	0.053923
rxn:4:216473:229267	Cc1nc(-c2nsc(N(C)C)n2)sc1C	0.053850
rxn:4:216463:229201	Cc1ccccc1-c1n[nH]c(C2CC2)n1	0.053828
