name	smiles	heavy
rxn:1:63857:7279	CC[C@H](N)c1cn(CC2(C)COC2)nn1	15
rxn:1:63575:7135	CC(O)c1cn(CC2CCC(=O)O2)nn1	15
rxn:1:40192:2061	CC1(n2cc(C(=O)C3(N)CCC3)nn2)CC1	16
rxn:1:59994:11683	CCC(O)c1cn([C@@H]2CCOC[C@H]2O)nn1	16
rxn:1:65649:6553	NCC(F)CCCc1cn(CC(=O)O)nn1	16
rxn:1:57146:8770	N#Cc1ccc(CCCn2cc(CN)nn2)s1	17
rxn:1:62140:22615	CC(=O)c1ccccc1-c1cn(C(F)F)nn1	17
rxn:1:40911:12212	Cn1nncc1-n1cc([C@H]2CNC[C@H]2F)nn1	17
rxn:1:61027:38613	COC(=O)CCn1cc(CC2(O)CCC2)nn1	17
rxn:1:61530:24168	CC(Cc1cn(C(C)(C)C(=O)O)nn1)C(N)=O	17
rxn:1:61968:31854	CO[C@@H](C)[C@H](N)c1cn([C@@H]2CNC(=O)C2)nn1	17
rxn:1:60591:23835	NC[C@@H]1CC[C@@H]1c1cn([C@H](CO)C(=O)O)nn1	17
rxn:1:61778:39755	Cc1n[nH]nc1Cn1cc(C(O)C(=O)O)nn1	17
rxn:1:52157:32202	O=C1CC=CC(c2cn(Cc3cn[nH]c3)nn2)=N1	18
rxn:1:49408:39283	N[C@H]1CC[C@@H](n2cc(C(=O)C3CCC3)nn2)CC1	18
rxn:1:57557:1728	Cc1ccc(-n2cc(C3CC(F)(F)C3)nn2)cc1	18
rxn:1:47325:2513	Cc1nn(C)c(-c2cn([C@@H](C)C(=O)O)nn2)c1N	18
rxn:1:57360:39726	C=Cc1cn(CCCc2cnc(Cl)nc2C)nn1	18
rxn:1:64127:7717	Cc1nc(-c2cn(CC#N)nn2)c2sccc2n1	18
rxn:1:65145:28925	OCCCc1ccc(-c2cn(C3COC3)nn2)cc1	19
rxn:1:55970:4644	CCCC(CCO)c1cn(C2CCCC(C)C2)nn1	19
rxn:1:65675:23186	Cc1ccc(C=CCn2cc([C@H]3C[C@H]3C#N)nn2)s1	19
rxn:1:49418:39283	N[C@H]1CC[C@H](Cn2cc(C(=O)C3CCC3)nn2)CC1	19
rxn:1:60913:39328	CC=Cc1cn(Cc2nc(N)nc(N(C)C)n2)nn1	19
rxn:1:55882:31045	Cn1cc(-c2cn(CC3(CO)COC3)nn2)c(F)n1	19
rxn:1:48866:12018	CC(=O)CCc1cn(Cc2ccc(F)cc2C)nn1	19
rxn:1:61693:1719	CCCC(C)C(C)n1cc([C@H]2COC(C)(C)O2)nn1	19
rxn:1:62264:28120	CC[C@H](C)[C@H](C(=O)O)n1cc([C@@H]2C[C@@H]2COC)nn1	19
rxn:1:49499:39283	O=C(c1cn(C[C@H]2C[C@H](C(=O)O)C2)nn1)C1CCC1	19
rxn:1:40641:2237	CC(=O)CCn1cc(CCC(=O)CC2(N)CC2)nn1	19
rxn:1:62523:39316	COC(=O)C1CC1c1cn(C[C@@H]2COCCO2)nn1	19
rxn:1:62727:39101	Fc1cccc(F)c1-n1cc(-c2cccnn2)nn1	19
rxn:1:61932:37712	CC1=C(c2csc(-c3cn(C(C)C)nn3)n2)CCC1O	20
rxn:1:63004:38323	C[C@H](c1ccc(F)cc1F)n1cc([C@H]2C[C@H]2CO)nn1	20
rxn:1:61931:39611	CNC(=O)Cn1cc(C2(c3ccccc3)CCC2)nn1	20
rxn:1:41525:38444	NS(=O)(=O)CCCc1cn(-c2cc(Cl)ccc2F)nn1	20
rxn:1:51722:39261	CC1(O)CCCC1n1cc(C(N)C2CCCCC2)nn1	20
rxn:1:42204:5458	CC(c1ccccc1Cl)n1cc(COCC(N)=O)nn1	20
rxn:1:51026:2539	Cc1cn(C)nc1-c1cn(C[C@H](O)C2CCOC2)nn1	20
rxn:1:53463:12177	Cc1ccc(-n2cc(C3CC(C)(C(F)F)C3)nn2)cn1	20
rxn:1:61114:95	Cc1occc1-c1cn(CC(=O)N2CC(F)(F)C2)nn1	20
rxn:1:61517:3361	CC(C)c1cnn(Cc2cn(CC3(F)CCC3)nn2)c1	20
rxn:1:61071:28564	COC1CCCN(CCn2cc([C@@H]3C[C@H]3CO)nn2)C1	20
rxn:1:55112:2927	CSCCc1cn(CC2CC2c2ncccc2C)nn1	20
rxn:1:61861:32146	COC(=O)C(C)(C)Cn1cc(C[C@@H]2CCCNC2)nn1	20
rxn:1:48539:39726	C=Cc1cn(CCC(O)C(O)c2ccc(C)nn2)nn1	20
rxn:1:61917:38412	CC(C)NCc1cn([C@@H](COC(C)(C)C)C(=O)O)nn1	20
rxn:1:56995:1079	Cc1cnccc1-c1cn(CCCc2c[nH]cn2)nn1	20
rxn:1:41039:2783	Cc1cc(-c2cn(-c3ccc(CO)c(F)c3)nn2)n[nH]1	20
rxn:1:45336:28835	NC(=O)C(N)Cc1cn(CCC=Cc2ccoc2)nn1	20
rxn:1:64016:468	Cc1nc(Cn2cc(COC[C@H](N)C(=O)O)nn2)cs1	20
rxn:1:41413:38205	Cc1ccc(-c2cn(-c3cc(C)cc(C)c3)nn2)nc1	20
rxn:1:50981:31589	Cc1nc(C(F)F)sc1-c1cn(C[C@@H](O)C(C)(C)C)nn1	21
rxn:1:48859:18710	CC(O)n1cc(-c2cn(CC3CCC3)nn2)c(C2CC2)n1	21
rxn:1:62510:32459	CC[C@@H](c1ccc(F)cc1)n1cc([C@](C)(O)COC)nn1	21
rxn:1:58126:12149	CCN(CCn1cc([C@H]2C[C@H]2N)nn1)c1ccccc1F	21
rxn:1:61386:11767	O=C(O)[C@H]1CC[C@H](c2cn(CCn3nccn3)nn2)CC1	21
rxn:1:61907:7104	N[C@H]1CCCC[C@@H]1Cn1cc(CCN2CCCC2=O)nn1	21
rxn:1:59972:4000	CC(C)N(Cc1cn([C@H]2CCC[C@H](N)C2)nn1)S(C)(=O)=O	21
rxn:1:44748:23880	COC(=O)c1sc(-n2cc([C@@H]3CCCO3)nn2)c(Cl)c1O	21
rxn:1:62551:27806	Cc1oc(-c2cn(C[C@@H]3CC[C@H]3CO)nn2)cc1C(=O)O	21
rxn:1:49406:6010	NCc1cc(-c2cn(CC34CCC(N)(CO3)C4)nn2)co1	21
rxn:1:57088:7802	O[C@@H]1CCC[C@H]1c1cn(CCCc2cncnc2Cl)nn1	21
rxn:1:57170:23838	NC[C@@H]1CC[C@H]1c1cn(CCCc2cncc(O)c2)nn1	21
rxn:1:62502:14343	CCNC(=O)c1ccc(-c2cn(CCCN)nn2)c(F)c1	21
rxn:1:65697:11767	CCN(CC)CCn1cc([C@H]2CC[C@H](C(=O)O)CC2)nn1	21
rxn:1:62523:18628	CCc1nn(Cc2cn(C[C@@H]3COCCO3)nn2)cc1Cl	21
rxn:1:60808:1779	Cc1ccccc1CSCc1cn(C2CCCCC2)nn1	21
rxn:1:61080:7420	O=C(Cn1cc([C@@H]2[C@@H]3COC[C@@H]32)nn1)N1CCC(CO)C1	21
rxn:1:65735:13877	CCC(=O)OCc1cn(CC=Cc2cccnc2N)nn1	21
rxn:1:41447:31467	Cc1ccc(-n2cc(-c3cncc(CN)c3)nn2)c(F)c1	21
rxn:1:61669:4136	CC[C@@H](c1ccccc1F)n1cc(CNCC(N)=O)nn1	21
rxn:1:55882:6016	OCC1(Cn2cc(COCc3cccnc3)nn2)COC1	21
rxn:1:50365:2849	COc1ccccc1CCc1cn(C[C@H](N)C(=O)O)nn1	21
rxn:1:61778:27942	Cc1n[nH]nc1Cn1cc(-c2cnccc2N(C)C)nn1	21
rxn:1:49245:369	CCn1cc(-c2cn(C(=O)c3ccncc3)nn2)c(N)n1	21
rxn:1:65778:38763	Cc1ncccc1C=CCn1cc(-c2scnc2C)nn1	21
rxn:1:62785:6434	c1coc(-c2csc(-c3cn(CC4CCCO4)nn3)c2)c1	21
rxn:1:60614:8582	CC(C)CC(C(=O)O)n1cc(-c2c[nH]c(=O)nc2N)nn1	21
rxn:1:41406:31348	Cc1ccc(C)c(-n2cc(-c3ncc(C#N)cn3)nn2)c1	21
rxn:1:53314:35106	CC(C)(C)C1CC(n2cc(CC(O)C(=O)O)nn2)C(=O)N1	21
rxn:1:61387:28275	CCc1ncc(-c2cn(Cc3noc(C(N)=O)n3)nn2)o1	21
rxn:1:49145:22607	CCOC(CO)Cn1cc(Cn2cc(CNC)cn2)nn1	21
rxn:1:47203:7156	COc1ccc(C(O)C(O)Cn2cc(C(=O)O)nn2)nc1	21
rxn:1:60052:38344	Clc1nccnc1-c1cn(Cc2cnn3cc[nH]c23)nn1	21
rxn:1:47445:4114	CSCC[C@H](C(=O)O)n1cc(CNC(=O)C2CC2N)nn1	21
rxn:1:40509:2244	CC(CO)(CO)Cn1cc(CCC(=O)C2CCNC2)nn1	21
rxn:1:46854:38573	CNC(=O)c1cn(CC(O)C(O)c2ccc(O)cc2)nn1	21
rxn:1:49440:28631	O=C(O)C1CCC(c2cn([C@@H]3CN[C@@H](C(=O)O)C3)nn2)N1	21
rxn:1:55739:32710	Oc1cnc(-c2cn(CC3COCCC3(F)F)nn2)c(F)c1	22
rxn:1:49352:28636	Cc1nccn1[C@@H]1CCC[C@@H]1n1cc(CCC(C)(C)N)nn1	22
rxn:1:49537:11826	Cc1csc(C2C(Cn3cc(C(C)C(C)O)nn3)C2(F)F)c1	22
rxn:1:57212:38433	Cc1cccc(CCCn2cc(C3(N)CCCC3)nn2)c1Cl	22
rxn:1:61349:23330	C[C@H](O)Cc1cn(C2CN(Cc3ccc(F)cc3F)C2)nn1	22
rxn:1:60807:2796	CCC1(c2cn(Cc3ccc(CC(=O)O)cc3)nn2)CCC1	22
rxn:1:55107:39290	CCC(C)(N)Cc1cn(CC2CC2c2cc(C)ccn2)nn1	22
rxn:1:60640:13833	CC(C)Cc1n[nH]cc1Cn1cc([C@H]2CCCC[C@H]2O)nn1	22
rxn:1:49406:273	NC12CCC(Cn3cc(Cc4ccc(O)cc4)nn3)(C1)OC2	22
rxn:1:41071:7135	CC(O)c1cn(CC=Cc2cc(F)c(C(=O)O)cc2F)nn1	22
rxn:1:62307:39351	O=C(NCc1cn(-c2cncc(Cl)c2)nn1)C1CCCCN1	22
rxn:1:61738:38845	Cc1cc(-c2cn(C3(C(=O)N(C)C)CCC3)nn2)ccc1F	22
rxn:1:61855:5787	CO[C@H]1COC[C@@H]1n1cc(COCc2cccc(O)c2)nn1	22
rxn:1:43587:39262	OCC(c1ccc(Cl)cc1)n1cc(CC2(CO)CCC2)nn1	22
rxn:1:55566:10808	CCNCc1cn(CC2CC2c2ccc(C(C)C)cc2)nn1	22
rxn:1:55209:2582	FCC1(c2cn(CC3CC3c3cc(F)ccc3F)nn2)CC1	22
rxn:1:45344:11774	CC(=O)N1CCC(c2cn(CCC=Cc3cnoc3)nn2)C1	22
rxn:1:41738:39153	CCC(C)NCc1cn(CC=Cc2cccc(Cl)c2O)nn1	22
rxn:1:60709:14990	COC(=O)C1CC(c2cn(C[C@@H](O)C3CCCC3)nn2)CO1	22
rxn:1:65677:28390	COCC(NC(C)C)c1cn(CC=Cc2cscc2C)nn1	22
rxn:1:45673:7080	COc1ccc(C=CCCn2cc(C3CC(=O)C3)nn2)nn1	22
rxn:1:63001:2602	C[C@@H](c1ccccc1Cl)n1cc(CC2CCC(C)(C)C2)nn1	22
rxn:1:61676:8759	C[C@H](c1ccc(F)cc1F)n1cc(-c2cc(N)ncn2)nn1	22
rxn:1:61654:36140	Cc1noc(C)c1-c1ccccc1-c1cn([C@H](C)CN)nn1	22
rxn:1:47668:27772	C=C(c1ccccc1)n1cc(-c2ncncc2C(=O)O)nn1	22
rxn:1:64981:31244	Cc1cccc(-n2cc(C3CCc4nc(N)sc4C3)nn2)c1	22
rxn:1:41039:38365	COc1cnc(-c2cn(-c3ccc(CO)c(F)c3)nn2)cn1	22
rxn:1:55986:27941	CO[C@@H](C)c1cn(CC2CC2c2cc3cn[nH]c3cn2)nn1	22
rxn:1:45334:8537	OCc1ccc(-c2cn(CCC=Cc3ccsc3)nn2)nc1	22
rxn:1:58127:8535	CC(=O)c1ccc(CCCn2cc(C[C@H](C)N)nn2)cc1O	22
rxn:1:55782:17876	Fc1cncc(-n2cc(-c3nccn3C3CCCC3)nn2)c1	22
rxn:1:59932:8725	N#Cc1cc(F)ccc1-n1cc(-c2ccn(C(F)F)n2)nn1	22
rxn:1:49586:39554	FC1(F)C(Cn2cc(C3CCCCO3)nn2)C1c1cccc(Cl)c1	24
rxn:1:55363:28488	CCOC1(c2cn(CC3CC3c3ccnc(C#N)c3)nn2)CCOC1	25
rxn:1:45145:1396	O=C(O)c1ccc(O)c(-n2cc(CNc3ccc(CO)cn3)nn2)c1	25
rxn:1:45869:3933	C[C@@](O)(c1cn(CCC=Cc2cc(F)ccc2CO)nn1)c1nccs1	26
rxn:1:52552:7136	FC1CCCC1OCc1cn(CCC2CC2c2ccc3c(c2)OCO3)nn1	27
rxn:1:40774:2716	COc1cc(-c2cn(CC=Cc3c(OC)cccc3OC)nn2)c(Cl)cn1	27
rxn:1:62748:6213	C[C@H](O)CN1CC(Cn2cc(-c3cc(NCC(F)(F)F)ncn3)nn2)CC1=O	28
rxn:1:61044:27613	CC(O)C1CCCCN1CCn1cc(CN2CC(CS(=O)(=O)Cl)CC2=O)nn1	28
rxn:1:59740:23767	CC(O)c1cn([C@H]2C[C@H](c3cn(C4CCCN(S(=O)(=O)C5CC5)C4)nn3)C2)nn1	29
rxn:1:62264:16524	CC[C@H](C)[C@H](C(=O)O)n1cc(-c2cnn(-c3c(C)cccc3O)c2C2CC2)nn1	29
rxn:1:57163:15262	Cc1ccncc1CCCn1cc(-c2cc(=O)[nH]n2-c2nccc(C)c2F)nn1	29
rxn:1:64902:11762	CC(C)CN1CCCC1c1cn(CC2CC(=O)N(c3ccncc3C(=O)O)C2)nn1	30
rxn:1:47960:31784	COC(=O)N1CCC[C@H]1c1cn(CC(O)C(O)c2cnc(N)nc2C(F)(F)F)nn1	30
