name	smiles	heuristic
rxn:5:176594:228340:228716	COc1nc(C2CC2)sc1-c1ccc(OCC(C)=O)cc1-c1cnc(C#N)c(C)c1	0
rxn:5:195435:229338:229011	CC(=O)c1cc(-c2ccc(C3CC3)s2)cc(-c2ccns2)n1	0
rxn:5:198236:228888:229331	Cc1cc(-c2cc(C#N)ncc2F)cc(-c2cccs2)n1	0
rxn:5:182651:229342:229270	N#Cc1ncc(-c2cccc3cc(-c4cnsc4)oc23)s1	0
rxn:5:194950:228990:223456	CCCc1ccc(-c2cc(-c3ccc(=O)[nH]n3)ccc2C#N)s1	0
rxn:5:198417:228387:223297	COc1cc(=O)n(C)cc1-c1cc2nccc(-c3cc4cc(C)ccc4[nH]3)c2s1	0
rxn:5:181427:229226:228888	CSc1cc(-c2cc(C#N)ncc2F)cc(-c2ccc(C#N)s2)c1C	0
rxn:5:181076:229065:229273	COc1ncsc1-c1cc(SC)cc(-c2ccnc(C#N)c2)c1	0
rxn:5:198140:223216:223189	CS(=O)(=O)Nc1ccc(-c2cncc(-c3ccc4c(c3)CCC(=O)N4)c2)c(F)c1	0
rxn:5:197430:228762:223462	CCn1cc(-c2cc3nccc(-c4cc(C)[nH]n4)c3cc2OC)ccc1=O	0
rxn:5:182432:226778:229270	COc1cc(-c2ccoc2-c2cnc(C#N)s2)c(F)c(F)c1OC	0
rxn:5:191336:229271:229058	COc1cc(-c2cc(CC#N)cc(-c3cccnc3C#N)c2)sn1	0
rxn:5:199060:228629:228762	CCn1cc(-c2cc3nccc(-c4ccc(C5CCC5)s4)c3cc2C)ccc1=O	0
rxn:2:130705:125091	CSCc1nnc(NC(C)c2cc3cnccc3s2)s1	0
rxn:2:69029:131845	CSCc1nnc(NC(C)c2cc3cncnc3s2)o1	0
rxn:2:130705:94792	CSCc1nnc(NC(C)c2cc3ccncc3s2)s1	0
rxn:2:114106:91066	c1cc2c(s1)C(Nc1cncc(C3CC3)c1)CO2	0
rxn:2:93079:103571	Cc1n[nH]c(CNC(C)c2cc3c(s2)CCCC3)n1	0
rxn:2:67607:138214	CC(C)c1cccc2c1CCC2Nc1ncsn1	0
rxn:2:81263:96851	CSCc1cncc(NC2CCC[C@H](C)C2)c1	0
rxn:2:131021:94792	CC(C)c1nnc(NC(C)c2cc3ccncc3s2)o1	0
rxn:2:66976:89477	CC[C@@H]1CCCC(Nc2ncon2)C1	0
rxn:2:93854:141943	CCC(Nc1cccn2nncc12)C1CSC1	0
rxn:2:114503:78148	CCC1CCC(CC(C)NCC2CCC(c3nnc(C)n3CC)CC2)CC1	0
rxn:2:69029:77047	CSCc1nnc(NC(C)c2ccc3cnsc3c2)o1	0
rxn:2:75765:162733	Cc1cc(NC(C)c2ccc(-c3ncc[nH]c3=O)cn2)cc2cccnc12	0
rxn:2:66976:78122	CC(C)(C)C1CC(Nc2ncon2)C1	0
rxn:2:118147:91066	c1ncc(C2CC2)c(NC2COc3ccsc32)n1	0
rxn:2:66976:126014	CCCC1CC(Nc2ncon2)CCS1	0
rxn:2:66656:166390	Cc1cncc(-c2ccc3c(c2)CCCC3N[C@H]2C[C@H](Cn3cccn3)C2)c1	0
rxn:2:135338:96265	CSc1cc(NC2CC(SC)C2)cnn1	0
rxn:2:69029:102427	CSCc1nnc(NC(C)c2ccc3sncc3c2)o1	0
rxn:2:66976:82685	CCSC1CCC(Nc2ncon2)CC1	0
rxn:2:129727:156679	CC(NCc1cc(-c2cccs2)[nH]n1)c1ccc(-c2cccc3[nH]ncc23)s1	0
rxn:2:119733:157188	COc1c(-c2ccc(C(C)NC3CCCN(c4cc(-c5cccs5)n[nH]4)C3)s2)ccnc1C	0
rxn:2:92918:159258	Cc1[nH]c(CCNC(C)c2ncc(-c3ccc4ncsc4c3)s2)nc1-c1ccc[nH]1	0
rxn:2:163066:148810	COc1ccc(C)cc1Cc1nc(CNC(C)c2csc(-c3ccc4c(cnn4C)c3)c2)cs1	0
rxn:2:103782:166234	CC(Nc1ncnc2c1ncn2C1CC1)c1cnc(-c2ccc3ncsc3c2)s1	0
rxn:2:80638:157753	CCc1c[nH]c2ncnc(-c3ccc(C(C)NCCn4ccsc4=O)s3)c12	0
rxn:2:72005:147854	Cc1nn(C)c2ccc(-c3ccc(C(C)Nc4nc(-c5ccn(C)n5)n[nH]4)s3)cc12	0
rxn:2:130333:166336	COc1cn[nH]c(=O)c1-c1ccc(C(C)NCc2cc(C)nn2C2CCSC2)s1	0
rxn:2:105111:168163	Cc1cncnc1-c1ccc(C(C)Nc2nc(CCC3CCCCC3)c(C)o2)s1	0
rxn:2:103636:158710	CCS(=O)(=O)C1CC(C)C(CNC(C)c2ccc(-c3ccnc4[nH]cc(C)c34)s2)C1	0
rxn:2:113861:157753	CCc1c[nH]c2ncnc(-c3ccc(C(C)NC(C)(C)CCc4nc(-c5sccc5C)c[nH]4)s3)c12	0
rxn:2:139199:169604	CC(NCC1(C)N=N1)c1ccc(-c2ccc3ncsc3c2)s1	0
rxn:2:88495:88130	CSc1nc(NC2CSc3cnccc32)nc(SC)n1	0
rxn:2:119760:145452	COc1ccccc1-n1cc(CNC(C)c2ccc(-c3ccc4cc[nH]c(=O)c4c3)s2)cn1	0
rxn:2:153694:168678	COc1ccc2c(CCC(C)Nc3nc4nc(N(C)C)nnc4c(=O)[nH]3)c[nH]c2c1	0
rxn:2:71809:158710	CCC(NC(C)c1ccc(-c2ccnc3[nH]cc(C)c23)s1)c1noc(-c2cnn(C)c2C)n1	0
rxn:2:126200:157188	COc1c(-c2ccc(C(C)NCCc3nc(C4CCCC4)no3)s2)ccnc1C	0
rxn:2:114506:171231	CCOc1cc(C)c(-c2csc(C(C)Nc3cc(=O)[nH][nH]3)c2)cc1C	0
rxn:2:80408:156548	CC(Nc1ccsc1-c1nc(C2CC2)no1)c1ccc(-c2cccc3nsnc23)s1	0
rxn:2:105665:156548	CCc1nn(-c2cccc(C)n2)cc1CNC(C)c1ccc(-c2cccc3nsnc23)s1	0
rxn:2:83205:157403	COc1cncnc1-c1ccc(C(C)Nc2cc(C)c(-c3ncno3)s2)s1	0
rxn:2:101490:168965	CC(NCc1cn2c3c(sc2n1)CCC3)c1ccc(-c2cccc(-c3cnco3)c2)s1	0
rxn:2:133905:169604	CC(NCc1nc2cc[nH]cc-2n1)c1ccc(-c2ccc3ncsc3c2)s1	0
rxn:2:90271:144193	CCn1nc(NC(C)c2c[nH]c3nccc(C4CC4)c23)cc1Cn1cncn1	0
rxn:2:75436:145452	CC(CCc1c[nH]c2ncccc12)NC(C)c1ccc(-c2ccc3cc[nH]c(=O)c3c2)s1	0
rxn:2:157790:157753	CCc1c[nH]c2ncnc(-c3ccc(C(C)Nc4cc(-c5nc6ccccc6[nH]5)[nH]n4)s3)c12	0
rxn:2:140552:157753	CCc1c[nH]c2ncnc(-c3ccc(C(C)Nc4c(OC)ccc5ccncc45)s3)c12	0
rxn:2:71326:157753	CCc1c[nH]c2ncnc(-c3ccc(C(C)Nc4nc5n(n4)CCCCS5)s3)c12	0
rxn:2:126914:164912	CC(C)c1nc(CNC(c2ccc(-c3cc4c(=O)nc[nH]c4s3)cc2)C(C)C)c[nH]1	0
rxn:2:70967:149743	Cc1cnc2[nH]cc(CNC(C)c3ccc(-c4ccc5c(c4)oc(=O)n5C)s3)c2n1	0
rxn:2:97239:169604	Cc1nnc2n1CCC(CNC(C)c1ccc(-c3ccc4ncsc4c3)s1)C2	0
rxn:2:111027:145209	CSCC1CC(NC(C)c2ccc(-c3cc(C)c4c(cnn4C)c3)s2)C1	0
