name	smiles	heuristic
rxn:1:52211:31514	Cc1cc(F)c(C2CC2CCn2cc(-c3ccc4c(c3)C(=O)CCS4)nn2)cc1Cl	0
rxn:1:61682:38752	COc1ccc(C)cc1[C@H](C)n1cc(-c2ccc3c(c2)CCNC3=O)nn1	0
rxn:1:56681:15953	Oc1ccccc1-n1cc(-c2cn(CC3CC3c3cc4cccnc4cc3F)nn2)c(C2CC2)n1	0
rxn:1:52544:31514	O=C1CCSc2ccc(-c3cn(CCC4CC4c4cc5ccccc5s4)nn3)cc21	0
rxn:1:53075:31514	O=C1CCc2cc(C3CC3CCn3cc(-c4ccc5c(c4)C(=O)CCS5)nn3)ccc2C1	0
rxn:1:53521:31514	Nc1ccc(C2C(CCn3cc(-c4ccc5c(c4)C(=O)CCS5)nn3)C2(F)F)nn1	0
rxn:1:52783:31514	COc1cc(F)c(C2CC2CCn2cc(-c3ccc4c(c3)C(=O)CCS4)nn2)c(F)c1	0
rxn:1:52631:31514	Nc1nc2cc(C3CC3CCn3cc(-c4ccc5c(c4)C(=O)CCS5)nn3)ccc2o1	0
rxn:1:51721:31514	N#Cc1ccc(C2CC2CCn2cc(-c3ccc4c(c3)C(=O)CCS4)nn2)s1	0
rxn:1:51984:31514	Cc1cnc(C2CC2CCn2cc(-c3ccc4c(c3)C(=O)CCS4)nn2)c(N)c1	0
rxn:1:56733:31514	O=C1CCSc2ccc(-c3cn(CC4CC4c4cnn(-c5ccc(Cl)nn5)c4)nn3)cc21	0
rxn:1:40941:12172	N#CCC1(Cn2cc(C3(N)CCSC3)nn2)CC1	0
rxn:1:54314:1305	Cc1cc(-c2cn(CCC3C(c4cccc5sc(N)nc45)C3(F)F)nn2)sn1	0
rxn:1:52528:27812	CC1(C)CC(=O)c2cc(-c3cn(CCC4CC4c4cc(C#N)ccc4O)nn3)ccc21	0
rxn:1:56056:102	Nc1c(-c2cn(CC3CC3c3ccc4c(c3)CNCC4)nn2)sc2ncccc12	0
rxn:1:62015:23681	CCC(C=CCl)(OC(N)=O)c1cn(-c2cccc3ncccc23)nn1	0
rxn:1:45624:22853	CCCc1nn(-c2cncc(-c3cn(CCC=Cc4ncc(Cl)cc4N)nn3)c2)c(Cl)c1Cl	0
rxn:1:52279:37902	COc1ccsc1-c1cn(CCC2CC2c2ccc(Cl)c(CO)c2)nn1	0
rxn:1:59225:26000	O=C1CC(c2cn(S(=O)(=O)c3cccc(Cl)c3Cl)nn2)CN1C1CC1	0
rxn:1:40338:27424	COc1cc(Cl)ccc1C=CCn1cc(C2CC(=O)N(c3nc(N)nc(Cl)n3)C2)nn1	0
rxn:1:56717:31182	Clc1nc(Cl)c2c(C3CC3Cn3cc(-c4cccc5c4CCN5)nn3)c[nH]c2n1	0
rxn:1:60704:10393	Cc1n[nH]c(C)c1Cn1cc(CSc2ncnc3sc4c(c23)CCCC4)nn1	0
rxn:1:46097:19519	N#Cc1ccc(C=CCCn2cc(-c3cnn(Cc4cccc(C5CC5)c4)c3)nn2)cc1O	0
