rxn:2:114864:136479	Cc1conc1NC1CCSC(C)C1
rxn:2:71837:84526	CCC1COC(CNc2csnc2C)C1
rxn:2:67607:134208	Cc1ccc(C(C)Nc2ncsn2)c(C)n1
rxn:2:114385:96265	CSC1CC(NCc2cc3cnccc3s2)C1
rxn:2:81969:127762	CC1OCCC1Nc1nnc(C2COC2)s1
rxn:2:95697:138812	FC1CCC(NC2CCn3cncc32)C1
rxn:2:111693:122245	CC(NC(c1cccs1)C1CC1)c1csnn1
rxn:2:76863:111773	COc1ccnc(C(C)NC2CCCC2)c1
rxn:2:91068:114552	CN(CCNC1CCOCC1)c1nccs1
rxn:2:116824:121253	Cc1cnn(C2CCC2)c1NC1CSC(C)C1
rxn:2:108370:98873	CC1(C)COC1c1cccc(NC2CC2)c1
rxn:2:123522:100219	Cc1noc(NC2CCCC3CCCC32)n1
rxn:2:90143:141545	CC1CCCC(NC2Cc3cocc3C2)C1
rxn:2:102751:86627	CC1Cn2nccc2C1NCC(F)C(C)(C)C
rxn:2:92898:133854	CC[C@H]1OC[C@@H]1NC1CCOC(C)(C)C1
rxn:2:127280:117258	CC(N[C@@H](C)c1nccn1C)c1ccn(C)n1
rxn:2:94820:113291	Cc1cc(C(C)NC2C[C@@H]3CC[C@H]2C3)nn1C
rxn:2:95588:96015	CC1CCC1NCc1cn(C2CC2)ccc1=O
rxn:2:107065:98187	CC(C)OCn1cc(NC2CCC[C@@H]2F)cn1
rxn:2:74427:95085	CC(NCc1nc(C(C)(F)F)cs1)c1ncco1
rxn:2:93644:99881	C[C@H]1CC(Nc2cn[nH]n2)c2ccccc21
rxn:2:116225:110686	CC(C)c1ncsc1NC1CCC2(CCO2)CC1
rxn:2:110168:114686	Cc1nc(C(C)NCC2(F)CC(F)(F)C2)cn1C
rxn:2:128196:71586	CC1CC(CNC2CC(c3ccsc3)C2)C(C)O1
rxn:2:92195:76956	CC(c1cc(NCC2CCO2)n(C)n1)C1CC1
rxn:2:133481:87875	CCc1nccc(NC2CCCc3occc32)n1
rxn:2:111131:96477	CC(NCC1C2CCC21)c1cccc2ncoc12
rxn:2:122046:117016	Cc1cnc(NC2CCCS(=N)(=O)C2)c(C)n1
rxn:2:74918:136479	CC1CC(NCc2n[nH]c3ncccc23)CCS1
rxn:2:73189:110686	CCCc1nonc1NC1CCC2(CCO2)CC1
rxn:2:134596:121253	Cc1cc2nc(NC3CSC(C)C3)sc2cc1C
rxn:2:83240:120114	CC(NC1CCCc2oncc21)c1ncn[nH]1
rxn:2:109734:131337	CC(N[C@H]1C[C@@](C)(F)C1)c1cccc2c1CCO2
rxn:2:94308:124134	CC1CC12CCCC2NCc1ncc(C2CC2)o1
rxn:2:122310:90537	CCc1cc(NC2CCCCC2C2CC2)cnn1
