rxn:4:195017:229321	CCc1nc(-c2ccoc2Cl)cs1
rxn:4:195530:223460	Cc1nc(-c2csc(C(C)(C)F)n2)c[nH]1
rxn:4:217912:228230	Clc1cc(-c2cnn[nH]2)cnc1C1CC1
rxn:4:216413:229114	CCc1nc(-c2cc(C)ncc2F)n[nH]1
rxn:4:215312:229320	N#CCn1cc(-c2cc(F)cs2)cn1
rxn:4:207973:223442	CNc1ccc(-c2nc(C#N)co2)cc1
rxn:4:195275:229284	c1cncc(-c2ncsc2C2CC2)c1
rxn:4:211250:229076	Cc1cc(C#N)sc1-c1nc(C)c(C)[nH]1
rxn:4:205191:229231	CCCn1nccc1-c1cnc(CC)s1
rxn:4:191374:223467	N#CCc1c(F)cc(F)cc1-c1ncc[nH]1
rxn:4:216569:228921	CC(C)c1[nH]nnc1-c1ccc(C(F)F)nc1
rxn:4:208519:223471	Clc1cc(-c2cnn[nH]2)nc(C2CC2)n1
rxn:4:198109:229067	CCc1ncc(-c2nc(C)co2)cn1
rxn:4:194903:228788	COc1ccc(Cl)cc1-c1conc1OC
rxn:4:205307:223449	CCn1cc(-c2cc(=O)[nH]cc2F)nc1OC
rxn:4:211107:228734	COc1nccc(C)c1-c1nnco1
rxn:4:217916:228152	CCOc1ccc(Cl)cc1-c1cnnnc1
rxn:4:212273:223464	c1cc(-c2cnc3c(n2)CCCC3)c[nH]1
rxn:4:191437:229048	CCCc1ncc(-c2cnn3c2CCC3)s1
rxn:4:208364:229238	CCc1cnc(-c2ccsc2SC)nc1
rxn:4:208129:228736	COc1nc(C)ccc1-c1csc(S(N)(=O)=O)n1
rxn:4:176583:229342	O=S(=O)(CCF)c1ccc(-c2cnsc2)cc1
rxn:4:207976:228779	COc1ccc(F)cc1-c1csc(C#N)n1
rxn:4:198081:227575	COc1ccc(OC)c(-c2ncco2)c1F
rxn:4:211155:229276	Clc1cnc(-c2cncnc2Cl)cn1
rxn:4:208354:223345	CN(C)c1nc(-c2cccc3c2NC(=O)C3)cs1
rxn:4:211149:229136	Fc1cc(Cl)cc(-c2ccc(F)nn2)c1
rxn:4:205360:229283	FC(F)(F)c1n[nH]c(C2CC2)c1-c1ccncc1
rxn:4:204966:228921	N#CCc1ncc(-c2ccc(C(F)F)nc2)s1
rxn:4:208255:227067	CCc1cnc(-c2ccc(OC)cc2C2CC2)[nH]1
rxn:4:208743:229302	CC(C)(C)c1nnc(-c2ccnnc2)s1
rxn:4:216473:228548	CCCc1cncc(-c2nsc(N(C)C)n2)c1
rxn:4:211238:228864	CCOc1ncc(-c2cn(C)nc2C)cn1
rxn:4:191335:229225	CCn1cc(-c2ccc(Cl)c(CC#N)c2)cn1
rxn:4:208344:228793	COc1cc(Cl)cc(-c2cnn(C3CC3)c2)c1
rxn:4:198374:229276	O=C1CCc2nc(-c3cnc(Cl)cn3)sc21
rxn:4:198080:228481	FC(F)(F)c1cc(-c2cnco2)ccn1
rxn:4:216878:229012	CC(C)c1ccsc1-c1nc(C(C)C)n(C)n1
rxn:4:205212:223465	COC(=O)c1cc(-c2ccn[nH]2)nn1C
rxn:4:211197:228160	CCOc1cccc(F)c1-c1nn(C)cc1F
rxn:4:195033:228991	CCCc1sccc1-c1ccnc(CF)c1
rxn:4:195046:228566	CC(C)Cc1sccc1-c1csc(S(C)(=O)=O)n1
rxn:4:208702:228887	CCn1cc(C)c(-c2cc(C#N)ncc2Cl)n1
rxn:4:216600:222420	CC(C)c1ncnc(-c2ccccc2S(N)(=O)=O)n1
rxn:4:188418:229344	CCOc1c(C#N)cc(F)cc1-c1cocn1
rxn:4:216414:228575	CCn1ncnc1-c1ccc(C#N)c(C)c1
rxn:4:195019:228324	CCc1cc(-c2cc(OC)ncc2OC)on1
rxn:4:208357:227762	COc1[nH]nc(C)c1-c1cccc(Cl)c1C(F)(F)F
rxn:4:192024:229309	Cc1ncc(-c2cc(OC3COC3)ccn2)o1
rxn:4:216466:228516	CCc1cc(C)cc(-c2cn(C3CC3)nn2)c1
rxn:4:188704:229204	CCOC(=O)c1[nH]c(C)cc1-c1ccsc1CC
rxn:4:195737:229177	COc1cnc(-c2c(F)cncc2F)c(C)c1
rxn:4:195688:228609	COc1cc(-c2cc(S(N)(=O)=O)ccc2F)ccc1C
rxn:4:198244:228323	CCOc1nccc(-c2cncc(C)c2Cl)c1F
rxn:4:195301:228682	CCCc1ncncc1-c1cc(Cl)c(OC)cn1
rxn:4:208816:228625	CCc1ccc(-c2cc(C)c(S(N)(=O)=O)cn2)c(F)c1
rxn:4:208719:229054	COCc1cc(-c2cnc(C3COC3)nc2)cs1
rxn:4:191644:228975	CCOc1cccnc1-c1cnn(C(F)(F)F)c1
rxn:4:179352:223439	FC(F)(F)c1cc(-c2cccc(OC3COC3)c2)n[nH]1
rxn:4:208299:227719	NS(=O)c1cncc(-c2ccc(Cl)c(OC(F)F)c2)c1
rxn:4:186084:229342	CCOc1cc(C#N)cc(-c2cnsc2)c1OC
rxn:4:198247:228617	COc1cccc(C)c1-c1cc(C)ncc1Cl
rxn:4:211137:222900	Cc1nsc(-c2csc(CNC(=O)OC(C)(C)C)c2)n1
rxn:4:191659:228793	COCc1cccnc1-c1cc(Cl)cc(OC)c1
rxn:4:211110:223394	c1cc(-c2ncns2)c2[nH]ccc2c1
rxn:4:211152:227979	COc1cc(C)cc(C)c1-c1cncc(F)n1
rxn:4:195520:229047	CCc1ccc(-c2c(C)sc(C)c2C)cn1
rxn:4:208111:227352	COC(=O)c1ccc(C)cc1-c1cnc(OC)[nH]1
rxn:4:198073:227339	COC(=O)c1cc(C)ccc1-c1ccns1
rxn:4:207976:227046	Cc1cc(OC(C)C)cc(-c2csc(C#N)n2)c1
rxn:4:211153:227960	Fc1nccnc1-c1ccncc1C1CCC1
rxn:4:216413:227225	CCc1nc(-c2ccc(SCC(C)C)nc2)n[nH]1
rxn:4:209646:223455	c1cnc(-c2cnn(C3CCCCC3)c2)cn1
rxn:4:211230:223285	Cc1cc(-c2ccccc2NS(C)(=O)=O)nc(Cl)n1
