rxn:5:194943:229341:229286	Cn1ccc(-c2ccc(-c3ccon3)cc2C#N)c1
rxn:5:195674:229336:229232	CCc1ncsc1-c1ccc(-c2cncs2)cc1S(N)(=O)=O
rxn:5:181413:229345:229224	CCn1nccc1-c1cc(C)c(OC)c(-c2ccno2)c1
rxn:5:198279:229344:228928	Cc1c(-c2cocn2)cncc1-c1cccnc1C(F)F
rxn:5:181062:229339:222419	COc1ccc(-c2cccc(S(N)(=O)=O)c2)cc1-c1nccs1
rxn:5:177086:229346:229331	CCCCc1ccc(-c2cccs2)c(-c2cnon2)c1
rxn:5:198242:229273:223400	CNCc1cccc(-c2ccc(C)c(-c3scnc3OC)n2)c1
rxn:5:198234:229291:229236	COc1csc(-c2nccc(C)c2-c2cc(C)cs2)c1
rxn:5:181622:229344:229294	Cc1cc(-c2ccc(C3OCCO3)cc2-c2cocn2)co1
rxn:5:191681:229211:229311	CCOc1cc(-c2cnc(C)s2)cnc1-c1cccnc1C
rxn:5:198124:228967:229200	Cc1cccc(-c2cccnc2-c2cn(C)nc2C(F)F)c1
rxn:5:182440:229211:228757	COc1cnc(C)cc1-c1ccccc1-c1cccnc1C
rxn:5:198235:229115:223399	CNCc1ccccc1-c1cc(-c2cc(F)cnc2C)c(C)cn1
rxn:5:196081:228197:223467	CC(C)c1cc(-c2cnc(C(C)(C)C)nc2)cnc1-c1ncc[nH]1
rxn:5:198121:229063:228987	Cc1cc(C)cc(-c2ncccc2-c2ccncc2C#N)c1
rxn:5:194946:229207:229071	COc1cc(-c2cccc(-c3ccnc(C)c3)c2C#N)ccn1
rxn:5:198125:228865:223398	CCOc1cnc(-c2ccnc(-c3ccc(CNC)cc3)c2)cn1
rxn:5:182503:228712:229248	Cc1ccc(-c2c(C)cnn2C)c(-c2ccnn2C2CCC2)c1
rxn:5:181066:229241:223421	CNC(C)c1ccc(-c2ccc(-c3cnn(C)c3C)cc2OC)s1
rxn:5:198125:228252:229266	COc1ccc(C)c(F)c1-c1ccnc(-c2oc(C)nc2C)c1
rxn:5:182898:229341:229137	Fc1cccc(F)c1-c1cc(-c2ccon2)cc2c1CCC2
rxn:5:182711:229073:229297	COc1cnccc1-c1cc2c(cc1-c1cncnc1)C(=O)CO2
rxn:5:198245:227984:229284	COc1ccc(-c2c(-c3cccnc3)ccnc2C)c(C)c1C
rxn:5:195028:223454:227657	CCc1nc(-c2ccc(N3CCOCC3)s2)sc1-c1ccc[nH]c1=O
rxn:5:195465:223437:229003	COc1cccc(-c2c(C#N)ccc(-c3cc(C#N)[nH]c(=O)c3)c2C)c1
rxn:5:195300:223468:225637	COc1cc(-c2c[nH]cn2)ncc1-c1ccccc1N1CCN(C)CC1
rxn:5:195320:229308:227947	COc1ccc(-c2c(C)cc(C#N)cc2C)c(-c2cc(C)no2)n1
rxn:5:181410:229037:223457	Cc1cc(-c2ccc(C3CC3)cc2-c2ccc(C)c(F)c2)[nH]n1
rxn:5:198249:228154:229255	COc1cccc(OC)c1-c1c(C)cncc1-c1ccncc1F
rxn:5:195524:223462:226685	CCc1cc(-c2cc(C)[nH]n2)cnc1-c1cnc(C2CCOCC2)nc1
rxn:5:191699:229345:228145	CCOc1ncc(-c2cc(OC)ccc2C#N)cc1-c1ccno1
rxn:5:195650:229299:229166	CC(=O)n1cc(-c2ncc(-c3ccn(C)n3)cc2S(C)(=O)=O)cn1
rxn:5:195651:228987:229294	Cc1cc(C)cc(-c2cc(S(C)(=O)=O)cnc2-c2coc(C)c2)c1
rxn:5:198229:229338:226652	Cc1cnc(-c2ccns2)c(-c2cc(C)nn2C2CCCCO2)c1
rxn:5:195363:229131:223343	COc1ncc(-c2ccc(F)cc2F)cc1-c1ccc2c(c1)NC(=O)C2
rxn:5:178993:229339:223264	CCOc1cccc(-c2nccs2)c1-c1ccc(F)c(C(=O)NC)c1
rxn:5:191677:223231:229300	CCOc1cc(-c2cncn2C)ncc1-c1ccc(C(=O)NC)c(C)c1
rxn:5:181062:228013:229340	COc1ccc(-c2ncco2)cc1-c1ccc(F)c(C2CC2)c1
rxn:5:179537:228877:223456	CCOc1cc(C)c(-c2ccnn2C2CC2F)cc1-c1ccc(=O)[nH]n1
rxn:5:198125:228256:222419	COc1cc(-c2ccnc(-c3cccc(S(N)(=O)=O)c3)c2)cc(C)c1F
rxn:5:199168:228576:229344	Cc1ccc(C#N)cc1-c1cnc(-c2cocn2)c2c1CCCC2
rxn:5:195306:223286:229289	COc1ccc(-c2cscc2C)nc1-c1cccc(NS(C)(=O)=O)c1
rxn:5:198085:225934:229296	Cn1cc(-c2cnc(-c3cnc(C(F)(F)F)c(C4CC4)c3)s2)cn1
rxn:5:198279:229290:228155	COc1ccc(-c2cncc(-c3ccsc3C)c2C)cc1OC
rxn:5:188069:228066:229337	N#CCOc1ccc(-c2ccc3c(c2)OCCO3)cc1-c1cnco1
rxn:5:194943:229340:222957	Cc1cc(-c2ccc(-c3ncco3)cc2C#N)cc(C2CCCNC2)c1
rxn:5:182580:223467:226441	Cc1ccc(-c2ncc[nH]2)c(C)c1-c1ccc(N2CCCC2)cc1F
rxn:5:198234:229285:228629	Cc1ccnc(-c2ccc(C3CCC3)s2)c1-c1cccn1C
rxn:5:198232:229266:227438	Cc1ccc(-c2oc(C)nc2C)c(-c2ccnc(C3CCOC3)c2)n1
rxn:5:198236:229280:228644	Cc1cc(-c2cnc(F)nc2)cc(-c2cc(C)c(F)c(C)c2)n1
rxn:5:191332:229283:227858	CN1Cc2cccc(-c3cc(CC#N)ccc3-c3ccncc3)c2C1
rxn:5:181204:228728:229303	COc1ncc(-c2cc(C(C)=O)cc(-c3ncccn3)c2)cc1C
rxn:5:195305:229336:226322	COc1ccc(-c2cncs2)nc1-c1ccc(C(=O)N(C)C)cc1C
rxn:5:181326:229340:227953	Cc1cc(N(C)C)ccc1-c1cc(-c2ncco2)cc(S(C)(=O)=O)c1
rxn:5:195650:229224:229177	CCn1nccc1-c1cnc(-c2c(F)cncc2F)c(S(C)(=O)=O)c1
rxn:5:179395:229270:229301	COC(=O)c1cc(C)c(-c2cccnn2)c(-c2cnc(C#N)s2)c1
rxn:5:196618:229339:229057	O=C1CCCN1c1cc(-c2nccs2)ccc1-c1cnn(C2CC2)c1
rxn:5:194950:228865:229163	CCOc1cnc(-c2cc(-c3cnnc(OC)c3)ccc2C#N)cn1
rxn:5:198129:227038:229281	COc1ccc(C(C)C)cc1-c1nc(-c2cnc(F)cn2)sc1C
rxn:5:198084:226038:229337	COc1cc(C(F)(F)F)c(F)cc1-c1cnc(-c2cnco2)s1
rxn:5:181077:229338:229137	CSc1ccc(-c2c(F)cccc2F)c(-c2ccns2)c1
rxn:5:198243:228778:228896	COc1cccc(-c2ccnc(-c3cnc(OC)c(F)c3)c2C)c1F
rxn:5:198122:229121:227566	COc1ccc(-c2ccc(-c3cncc(F)c3C)nc2)c(OC)c1F
rxn:5:198251:225657:229339	Cc1cc(-c2ccc(C)c(-c3nccs3)n2)ccc1N1CCOCC1
rxn:5:198239:229308:227062	CCOc1ccc(-c2ccc(C)nc2-c2cc(C)no2)c(C)c1C
rxn:5:198088:229270:225657	Cc1cc(-c2csc(-c3cnc(C#N)s3)n2)ccc1N1CCOCC1
rxn:5:181326:229076:229281	Cc1cc(C#N)sc1-c1cc(-c2cnc(F)cn2)cc(S(C)(=O)=O)c1
rxn:5:198086:227717:229071	COc1cc(-c2ncsc2-c2ccc(F)cc2OC(F)F)ccn1
rxn:5:198241:228704:228688	CCOc1cnccc1-c1cc(C)cc(-c2c(C)nn(CC)c2C)n1
rxn:5:192493:229338:228504	CN(C)Cc1cc(-c2ccns2)ccc1-c1cccc2c1CCC2
rxn:5:195310:228619:229335	CCc1cc(-c2ncc(-c3cscn3)cc2SC)ccc1F
rxn:5:198438:223467:228978	CCc1ccc(-c2ccc3nc(-c4ncc[nH]4)oc3c2)cc1
rxn:5:179194:229159:229230	COc1ncc(-c2ccc(-c3cc(C#N)cs3)cc2OC2CC2)cn1
