name	smiles	heuristic
rxn:1:62034:39292	CSCc1cn(C2CCSC2)nn1	0.059176
rxn:1:45139:2665	CC(C)(F)c1cn(-c2ccc(O)c(Cl)c2)nn1	0.052809
rxn:1:45139:28354	CSC(C)(C)c1cn(-c2ccc(O)c(Cl)c2)nn1	0.052198
rxn:1:62034:905	CC(O)(c1cn(C2CCSC2)nn1)c1cccs1	0.052081
rxn:1:45139:2577	CC(C)(CF)c1cn(-c2ccc(O)c(Cl)c2)nn1	0.051784
rxn:1:64366:23648	Oc1cnc(-c2cn(CC(F)(F)F)nn2)c(Cl)c1	0.050837
rxn:1:62034:10876	c1c[nH]c(SCc2cn(C3CCSC3)nn2)n1	0.050486
rxn:1:45139:27993	CC(C)(O)c1cn(-c2ccc(O)c(Cl)c2)nn1	0.050410
rxn:1:45139:0	CC(C)(N)c1cn(-c2ccc(O)c(Cl)c2)nn1	0.050282
rxn:1:45139:3279	CC(C)(C#N)c1cn(-c2ccc(O)c(Cl)c2)nn1	0.050105
rxn:1:45139:21278	CC(C)(C)c1cn(-c2ccc(O)c(Cl)c2)nn1	0.049876
rxn:1:45139:30510	CCC(C)(O)c1cn(-c2ccc(O)c(Cl)c2)nn1	0.049706
rxn:1:62034:5516	c1nc(SCc2cn(C3CCSC3)nn2)n[nH]1	0.049665
rxn:1:45139:2227	CC(C)(c1cn(-c2ccc(O)c(Cl)c2)nn1)C(F)F	0.049641
rxn:1:45139:23184	CCC(C)(N)c1cn(-c2ccc(O)c(Cl)c2)nn1	0.049608
rxn:1:45139:39371	CNC(C)(C)c1cn(-c2ccc(O)c(Cl)c2)nn1	0.049605
rxn:1:40179:3819	C[C@@H](N)c1cn(CC=Cc2c(Cl)cncc2Cl)nn1	0.049572
rxn:1:40179:5553	CC(N)c1cn(CC=Cc2c(Cl)cncc2Cl)nn1	0.049572
rxn:1:40179:28754	C[C@H](N)c1cn(CC=Cc2c(Cl)cncc2Cl)nn1	0.049572
rxn:1:45139:39112	CC(C)(CO)c1cn(-c2ccc(O)c(Cl)c2)nn1	0.049498
rxn:1:45139:28512	CC(C)(CN)c1cn(-c2ccc(O)c(Cl)c2)nn1	0.049390
rxn:1:45139:1912	CN(C)C(C)(C)c1cn(-c2ccc(O)c(Cl)c2)nn1	0.049374
rxn:1:45139:7793	CC(=O)C(C)(C)c1cn(-c2ccc(O)c(Cl)c2)nn1	0.049325
rxn:1:45139:2121	CC(C)(c1cn(-c2ccc(O)c(Cl)c2)nn1)C1CC1	0.049279
rxn:1:45139:2820	COCC(C)(C)c1cn(-c2ccc(O)c(Cl)c2)nn1	0.049238
rxn:1:45139:31004	CC(C)(CC#N)c1cn(-c2ccc(O)c(Cl)c2)nn1	0.049223
rxn:1:45139:28340	CC(C)C(C)(C)c1cn(-c2ccc(O)c(Cl)c2)nn1	0.049185
rxn:1:45139:23881	CCC(C)(C)Cc1cn(-c2ccc(O)c(Cl)c2)nn1	0.048954
rxn:1:45139:2088	CCCC(C)(C)c1cn(-c2ccc(O)c(Cl)c2)nn1	0.048853
rxn:1:65627:3092	COc1c(Cl)cccc1-c1cn([C@H]2CNOC2)nn1	0.048783
rxn:1:40247:12181	CCC(C)(c1cn(-c2ccc(O)cc2)nn1)C(F)F	0.048749
rxn:1:53540:12181	CCC(C)(c1cn(-c2cccc(O)c2)nn1)C(F)F	0.048749
rxn:1:62034:39588	CC1CCC(NCc2cn(C3CCSC3)nn2)CC1	0.048446
rxn:1:59225:8782	O=S(=O)(c1cccc(Cl)c1Cl)n1cc(CCO)nn1	0.048340
rxn:1:62034:4275	CC1CCN(Cc2cn(C3CCSC3)nn2)C1	0.048309
rxn:1:64054:23648	Oc1cnc(-c2cn(C3CCOCC3)nn2)c(Cl)c1	0.047963
rxn:1:62034:8838	Cc1nnc(SCc2cn(C3CCSC3)nn2)[nH]1	0.047786
rxn:1:62034:3119	Nc1nnc(SCc2cn(C3CCSC3)nn2)s1	0.047783
rxn:1:62034:23151	CCN1CC(Cc2cn(C3CCSC3)nn2)C1	0.047769
rxn:1:45139:3404	CC(O)(c1cn(-c2ccc(O)c(Cl)c2)nn1)C(F)F	0.047767
rxn:1:45139:38921	CC(C)C(C)(O)c1cn(-c2ccc(O)c(Cl)c2)nn1	0.047718
rxn:1:45139:12179	CC(N)(c1cn(-c2ccc(O)c(Cl)c2)nn1)C(F)F	0.047696
rxn:1:45139:38947	CCC(O)(CC)c1cn(-c2ccc(O)c(Cl)c2)nn1	0.047560
rxn:1:45139:4589	CCCC(C)(O)c1cn(-c2ccc(O)c(Cl)c2)nn1	0.047560
rxn:1:45139:39577	CCNC(C)(C)c1cn(-c2ccc(O)c(Cl)c2)nn1	0.047530
rxn:1:45139:38388	CCC(N)(CC)c1cn(-c2ccc(O)c(Cl)c2)nn1	0.047493
rxn:1:45139:12227	CCCC(C)(N)c1cn(-c2ccc(O)c(Cl)c2)nn1	0.047493
rxn:1:45139:28661	CC(C)(CCO)c1cn(-c2ccc(O)c(Cl)c2)nn1	0.047468
rxn:1:45139:28663	CC(C)(CCN)c1cn(-c2ccc(O)c(Cl)c2)nn1	0.047392
rxn:1:45139:2489	CC(C)(c1cn(-c2ccc(O)c(Cl)c2)nn1)N1CCC1	0.047226
