name	smiles	heuristic
rxn:1:55000:39841	NC(c1cn(CC2CC2c2ccccc2Cl)nn1)c1ccccc1F	0.030134
rxn:1:55009:39841	NC(c1cn(CC2CC2c2ccc(Cl)cc2)nn1)c1ccccc1F	0.030134
rxn:1:57142:384	COc1cnn(C)c1-c1cn(CCCc2csc(C#N)c2)nn1	0.030130
rxn:1:40223:9340	COc1cccnc1C=CCn1cc(COC(=O)NS(C)(=O)=O)nn1	0.030127
rxn:1:56002:13880	CS(=O)(=S)OCc1cn(CC2CC2c2ccc3c(c2)OCCO3)nn1	0.030127
rxn:1:57142:6494	N#CCn1cc(-c2cn(CCCc3csc(C#N)c3)nn2)cn1	0.030121
rxn:1:57142:27778	Cc1nc(-c2cn(CCCc3csc(C#N)c3)nn2)nc(N)c1N	0.030119
rxn:1:48381:38890	OC(Cn1cc(-c2cccc(F)c2F)nn1)C(O)c1sccc1Cl	0.030119
rxn:1:62074:32689	CC1(Cn2cc(-c3c(O)cncc3Cl)nn2)COc2cscc2OC1	0.030119
rxn:1:51597:31841	Nc1ncc(C2CC2CCn2cc(-c3ccnc(N)c3Cl)nn2)s1	0.030117
rxn:1:46985:31474	Cc1scnc1-c1cn(CC(O)C(O)c2ccc(Cl)cc2F)nn1	0.030116
rxn:1:41698:1305	Cc1cc(-c2cn(CC=Cc3cccc(C(C)(C)C)c3O)nn2)sn1	0.030112
rxn:1:57088:31364	Cc1ccsc1C(O)c1cn(CCCc2cncnc2Cl)nn1	0.030101
rxn:1:57080:31364	Cc1ccsc1C(O)c1cn(CCCc2cnc(Cl)nc2)nn1	0.030101
rxn:1:52282:30103	CC(=O)COCc1cn(CCC2CC2c2ccc(F)c(CO)c2)nn1	0.030098
rxn:1:52303:30103	CC(=O)COCc1cn(CCC2CC2c2cc(F)cc(CO)c2)nn1	0.030098
rxn:1:55750:7218	CC1(Cn2cc(-c3cc(OC4CCNCC4)ncn3)nn2)CCCCC1(F)F	0.030094
rxn:1:45402:18720	Cc1nc(N)sc1C=CCCn1cc(-c2ncc(F)c(C)c2F)nn1	0.030092
rxn:1:52078:8758	Nc1cncc(-c2cn(CCC3CC3c3ncc(Cl)cc3F)nn2)n1	0.030083
rxn:1:52078:38927	Nc1cnc(-c2cn(CCC3CC3c3ncc(Cl)cc3F)nn2)cn1	0.030083
rxn:1:59225:6324	Cc1cnnn1Cc1cn(S(=O)(=O)c2cccc(Cl)c2Cl)nn1	0.030076
rxn:1:57479:8690	COC(c1cn(CCCc2c(Cl)cncc2Cl)nn1)C1CCCC1	0.030068
rxn:1:53338:38722	Cc1ccsc1C1C(CCn2cc(-c3cncc(N)c3)nn2)C1(F)F	0.030067
rxn:1:53338:38608	Cc1ccsc1C1C(CCn2cc(-c3ccc(N)nc3)nn2)C1(F)F	0.030067
rxn:1:53338:38692	Cc1ccsc1C1C(CCn2cc(-c3ccnc(N)c3)nn2)C1(F)F	0.030067
rxn:1:61549:28319	COC(=O)C1(c2cn(-c3ccc4ncsc4c3)nn2)CCCC1	0.030066
rxn:1:49697:37786	Nc1ccsc1-c1cn(CC2C(c3nc(CO)cs3)C2(F)F)nn1	0.030061
rxn:1:49697:31178	Nc1ccc(-c2cn(CC3C(c4nc(CO)cs4)C3(F)F)nn2)s1	0.030061
rxn:1:59225:10892	CCC(C)(N)C(=O)NCc1cn(S(=O)(=O)c2cccc(Cl)c2Cl)nn1	0.030060
rxn:1:56278:13880	CS(=O)(=S)OCc1cn(CC2CC2c2cccc(C(F)(F)F)n2)nn1	0.030059
rxn:1:56280:13880	CS(=O)(=S)OCc1cn(CC2CC2c2ccnc(C(F)(F)F)c2)nn1	0.030059
rxn:1:52282:11781	OCc1cc(C2CC2CCn2cc(COCC(F)F)nn2)ccc1F	0.030057
rxn:1:52303:11781	OCc1cc(F)cc(C2CC2CCn2cc(COCC(F)F)nn2)c1	0.030057
rxn:1:59965:27817	O=c1[nH]c2cccc(-c3cn(CC4OCCOC45CCC5)nn3)c2[nH]1	0.030054
rxn:1:53338:39395	Cc1ccsc1C1C(CCn2cc(-c3cncs3)nn2)C1(F)F	0.030033
rxn:1:45213:23282	CCCN1C(=O)C(Cl)=C(n2cc(COc3c(Cl)cccc3Cl)nn2)C1O	0.030031
rxn:1:62074:3059	CC1(Cn2cc(-c3c(O)cccc3Cl)nn2)COc2cscc2OC1	0.030019
rxn:1:55972:10805	CS(=O)(=O)NCc1cn(CC2CC2c2ccc3ncsc3c2)nn1	0.030017
rxn:1:59225:2108	O=C(CC1COCCN1)c1cn(S(=O)(=O)c2cccc(Cl)c2Cl)nn1	0.030003
rxn:1:59225:2211	O=C(CC1CNCCO1)c1cn(S(=O)(=O)c2cccc(Cl)c2Cl)nn1	0.030003
rxn:1:45213:4464	CCCN1C(=O)C(Cl)=C(n2cc(CC(N)c3ccccc3Cl)nn2)C1O	0.030003
rxn:1:51972:38367	Cc1cc(C2CC2CCn2cc(-c3ccccc3Cl)nn2)ncc1N	0.029998
rxn:1:52282:3697	CS(=N)(=O)CCc1cn(CCC2CC2c2ccc(F)c(CO)c2)nn1	0.029996
rxn:1:52303:3697	CS(=N)(=O)CCc1cn(CCC2CC2c2cc(F)cc(CO)c2)nn1	0.029996
rxn:1:51819:13880	CCc1cccc(C2CC2CCn2cc(COS(C)(=O)=S)nn2)c1	0.029996
rxn:1:46204:39355	NC1CCCN(Cc2cn(CCC=Cc3ccc4c(c3)C(=O)NC4)nn2)C1	0.029987
rxn:1:45402:7659	Cc1nc(N)sc1C=CCCn1cc(-c2ncc(Cl)cc2Cl)nn1	0.029985
