name	smiles	heuristic
rxn:2:105553:95702	CC(NC1(C)CC1)c1cscn1	0.064652
rxn:2:69163:83206	Cc1cc(CNC(C)c2cnsc2)co1	0.057601
rxn:2:84359:96012	CC(F)(F)c1csc(NCC2SCCCS2)n1	0.053629
rxn:2:79286:110337	CCC(Nc1cc(C2CC2)no1)C1CC1	0.053587
rxn:2:96521:74805	CCn1ncc2c(NC3CCSC3)cccc21	0.053178
rxn:2:105903:116741	CCCc1nnsc1C(C)Nc1cnsc1C	0.053077
rxn:2:96770:126999	CC1C(Nc2ccnn2C(C)C)CCN1C	0.053032
rxn:2:89933:74805	c1ncn(-c2ccc(NC3CCSC3)cc2)n1	0.053009
rxn:2:126814:90751	CCC(N[C@H]1C[C@@H](F)C1)c1ccc(C)cn1	0.052930
rxn:2:74526:136912	CC[C@H](NC1CCCSCC1)c1ncnn1C	0.052573
rxn:2:114852:92401	COC1CCCC(Nc2nnc3n2CCS3)C1	0.052374
rxn:2:136419:90439	CSC1CCC1Nc1ccc(C2(F)CC2)nc1	0.052309
rxn:2:105296:114651	CSC1CC(NC(C)c2ccc(=O)n(C)c2)C1	0.052285
rxn:2:126703:121038	COc1csc(C(C)NC(C)c2ncco2)c1	0.052212
rxn:2:118076:81864	C[C@H]1CCC(NCC(F)(F)c2ccco2)CO1	0.052044
rxn:2:109278:86094	CCC(Cc1cccnn1)Nc1ncsc1C	0.051971
rxn:2:109550:90368	CCCOc1ncc(NC2CCOC[C@H]2F)s1	0.051937
rxn:2:99003:77963	COC[C@@H]1C[C@H]1NC1CCc2cn[nH]c21	0.051649
rxn:2:103296:106568	CC1CCCCC(NCc2ncon2)C1	0.051647
rxn:2:114747:101388	CSc1ccnc(NC2CCC(F)(F)C2)c1	0.051549
rxn:2:136563:66377	CC1CC(NCc2ccc3nccn3c2)C1C	0.051515
rxn:2:128771:76922	COc1ccc(C)c(NC2CC3COC2C3)c1	0.051183
rxn:2:95608:112484	Cc1nscc1C(C)Nc1cc(C2CC2)n(C)n1	0.051084
rxn:2:129923:103336	CCc1csc(C(C)Nc2nnc(C)c(C)n2)c1	0.051017
rxn:2:116846:137786	Cc1cc(C)c(C(C)NC2(CN(C)C)CC2)s1	0.050942
rxn:2:97213:134994	CO[C@@H]1CCC[C@@H]1NC1CCC12COC2	0.050901
rxn:2:113169:81260	CO[C@]1(C)C[C@H](NC2CCOC3CC23)C1	0.050899
rxn:2:74952:105546	CC1CCC(NC(C)c2cnc3sccn23)CC1	0.050892
rxn:2:101195:105180	CCc1nncn1NC1CCC2(CC1)COC2	0.050603
rxn:2:84886:114985	CC(NC1CCN2CCC1CC2)c1ncno1	0.050262
rxn:2:69768:90622	CO[C@@]1(C)C[C@H]1NC1CC(OC(C)C)C1	0.050259
rxn:2:139120:72637	Cc1csc(CNC(c2nccn2C)C(C)C)n1	0.050143
rxn:2:139347:101743	CC[C@H](NC(C)c1ccc(C)s1)c1ncn(C)n1	0.050138
rxn:2:130880:131218	CC(C)C(NCC(C)(C)F)c1ccccc1	0.050115
rxn:2:141323:141343	CC(NC(C)c1cccn1C(C)C)c1ncsn1	0.050023
rxn:2:99607:90848	C[C@H](NC1CCC2(CC[C@H](F)C2)C1)c1cncs1	0.050014
rxn:2:141867:71289	Cc1ccc2ccc(NC3CCCSC3)nc2n1	0.049897
rxn:2:108355:67774	Cc1cncn1CCNC1CCC1C1CCC1	0.049755
rxn:2:107966:70439	c1onc(NC2CC3OC(C2)C2CC32)c1C1CC1	0.049440
rxn:2:73466:106329	Cn1cncc1C1(NC2CC3CC2CC3F)CC1	0.049396
rxn:2:133487:90441	CCC(NC(C)c1sc(C)nc1C)C1CCCO1	0.049377
rxn:2:136416:122700	CCN1CCC(NC2CC(C)n3ccnc32)CC1	0.049304
rxn:2:136328:77406	CC(NC[C@H](F)[C@@H](C)F)c1cc2cccnn2c1	0.049297
rxn:2:114030:102192	COc1ccc2c(c1)SCC2NCc1csnc1C	0.049281
rxn:2:76016:110232	COC1CCCCC1NC1C[C@H]2CSC[C@H]2C1	0.049269
rxn:2:70755:83741	C[C@H]1COCCC1NC1CCn2ccnc2C1	0.049252
rxn:2:77784:141978	CC[C@@H](NC1CC(C)OCC1C)c1nc[nH]n1	0.049241
rxn:2:115109:129772	CN1CCC(NCCC2(C)N=N2)C12CCC2	0.049204
rxn:2:66645:98767	CS(=O)(=O)[C@H]1C[C@H](CNC2CC3(CCC3)C2)C1	0.049064
rxn:2:90897:81800	CC(NC1CC2CCCN(C2)C1)c1cccn1C	0.049059
rxn:2:123678:111593	CCC(Nc1noc(C(C)C)c1C)c1cscn1	0.049050
rxn:2:131251:123042	Cc1ccc(NC2CCCC[C@@H]2C)c2nncn12	0.049033
rxn:2:70345:81846	Cc1ccoc1C(C)N[C@@H]1C[C@@H]1N1CCOCC1	0.049031
rxn:2:126400:90439	CSC1CCC1Nc1ccc(-c2nccn2C)cn1	0.048985
rxn:2:80699:102473	Cc1scnc1C(C)N[C@@H](c1ccsc1)C1CC1	0.048944
rxn:2:66369:86078	CCc1cnn(C2CC2)c1NC1CCCC2CC21	0.048943
