name	smiles	heuristic
rxn:3:43458:39264:101160	CCOCC(C(=O)NC[C@H](C)F)n1cc(-c2ccc3nc(C)ccc3c2)nn1	0.023028
rxn:3:43458:27788:101160	CCOCC(C(=O)NC[C@H](C)F)n1cc(-c2ccc3ccc(C)nc3c2)nn1	0.023028
rxn:3:46053:39292:80623	CSCc1cn(CCC=Cc2cncc(C(=O)NC3C4CCC3CC(F)C4)c2)nn1	0.022970
rxn:3:43458:442:101160	CCOCC(C(=O)NC[C@H](C)F)n1cc(-c2ccnc3ccc(F)cc23)nn1	0.022879
rxn:3:43458:37802:101160	CCOCC(C(=O)NC[C@H](C)F)n1cc(-c2ccc3cccc(F)c3n2)nn1	0.022879
rxn:3:56330:39269:96146	CCC12CC(NC(=O)Cc3ccc(C4CC4Cn4cc(C5CCC5)nn4)cn3)(CO1)C2	0.022846
rxn:3:60928:38764:103803	CSC[C@H]1C[C@@H](NC(=O)c2cccnc2Cn2cc(-c3nc(C)cs3)nn2)C1	0.022843
rxn:3:61928:5864:101160	CC(C)[C@H](C(=O)NC[C@H](C)F)n1cc(-c2ccc3nccc(N(C)C)c3c2)nn1	0.022803
rxn:3:62479:5864:101160	CC(C)C(C(=O)NC[C@H](C)F)n1cc(-c2ccc3nccc(N(C)C)c3c2)nn1	0.022803
rxn:3:43458:27782:101160	CCOCC(C(=O)NC[C@H](C)F)n1cc(-c2ncnc3ccc(C)cc23)nn1	0.022787
rxn:3:46053:11636:80623	CN(C)Cc1cn(CCC=Cc2cncc(C(=O)NC3C4CCC3CC(F)C4)c2)nn1	0.022647
rxn:3:43458:6359:101160	CCOCC(C(=O)NC[C@H](C)F)n1cc(-c2ncnc3ccc(F)cc23)nn1	0.022601
rxn:3:60054:2092:112481	COc1cccc2c1OCCCC2NC(=O)C12CC(Cn3cc(C(C)C4CC4)nn3)(C1)C2	0.022181
rxn:3:46053:2758:80623	O=C(NC1C2CCC1CC(F)C2)c1cncc(C=CCCn2cc(CC(F)F)nn2)c1	0.022150
rxn:3:49115:34475:108188	CCC1(CNC(=O)C(Cn2cc(-c3c(C)nn(C)c3F)nn2)OC)CCCCCC1	0.022120
rxn:3:61795:34504:139481	Cn1nc(C(F)(F)F)cc1-c1cn(CC(C)(C)C(=O)NCC2COCCC2(F)F)nn1	0.022062
rxn:3:59969:6147:78789	CCCc1c(-c2cn([C@@H]3C[C@@]4(C(=O)NC56CCC7CC(CC(C7)C5)C6)C[C@@H]34)nn2)cnn1C	0.021909
rxn:3:43458:14600:101160	CCOCC(C(=O)NC[C@H](C)F)n1cc(-c2ccc3c(ccn3CC)c2)nn1	0.021878
rxn:3:59958:23811:102546	O=C(NC12CCC(COC1)C2)[C@@H]1CCC[C@@H](n2cc(C3(n4cncn4)CCSCC3)nn2)C1	0.021676
rxn:3:46060:2503:78915	CSc1cn(CCC=Cc2ccnc(C(=O)NCC3(C4CCC4)CCC3)c2)nn1	0.021595
rxn:3:50435:12104:68588	CCc1cn(CC2C(c3cccc(C(=O)NCC4CC(F)(F)C4(C)C)n3)C2(F)F)nn1	0.021554
rxn:3:49156:5864:101160	COCC(C(=O)NC[C@H](C)F)n1cc(-c2ccc3nccc(N(C)C)c3c2)nn1	0.021522
rxn:3:43458:17881:101160	CCOCC(C(=O)NC[C@H](C)F)n1cc(-c2ccnc(-n3cccn3)c2)nn1	0.021370
rxn:3:62849:6377:98525	Cc1ncnc(-c2cn(CC3CC(=O)N(C(C)(C)C(=O)N[C@@H]4[C@H]5CCCO[C@H]54)C3)nn2)c1C	0.021223
