name	smiles	heuristic
rxn:3:62154:12104:101160	CCc1cn([C@@H](C)C(=O)NC[C@H](C)F)nn1	0.050832
rxn:3:62154:39444:101160	C[C@H](F)CNC(=O)[C@H](C)n1cc(CC(C)(C)C)nn1	0.046772
rxn:3:62154:34501:101160	C[C@H](F)CNC(=O)[C@H](C)n1cc(-c2ccc(F)s2)nn1	0.046022
rxn:3:61929:7707:101160	Cc1cnc(-c2cn([C@H](C)C(=O)NC[C@H](C)F)nn2)s1	0.045609
rxn:3:62154:1728:101160	C[C@H](F)CNC(=O)[C@H](C)n1cc(C2CC(F)(F)C2)nn1	0.044982
rxn:3:61929:29621:101160	C[C@H](F)CNC(=O)[C@@H](C)n1cc(-c2ccn(C)c2)nn1	0.044870
rxn:3:62154:29621:101160	C[C@H](F)CNC(=O)[C@H](C)n1cc(-c2ccn(C)c2)nn1	0.044870
rxn:3:61929:35036:101160	C[C@H](F)CNC(=O)[C@@H](C)n1cc(-c2ccncc2)nn1	0.044783
rxn:3:61929:24882:101160	C[C@H](F)CNC(=O)[C@@H](C)n1cc(-c2ccccn2)nn1	0.044783
rxn:3:61929:38842:101160	C[C@H](F)CNC(=O)[C@@H](C)n1cc(-c2cccnc2)nn1	0.044783
rxn:3:62154:35036:101160	C[C@H](F)CNC(=O)[C@H](C)n1cc(-c2ccncc2)nn1	0.044783
rxn:3:62154:24882:101160	C[C@H](F)CNC(=O)[C@H](C)n1cc(-c2ccccn2)nn1	0.044783
rxn:3:62154:38842:101160	C[C@H](F)CNC(=O)[C@H](C)n1cc(-c2cccnc2)nn1	0.044783
rxn:3:61929:38324:101160	Cc1ccc(-c2cn([C@H](C)C(=O)NC[C@H](C)F)nn2)cc1	0.043751
rxn:3:61929:38166:101160	Cc1cccc(-c2cn([C@H](C)C(=O)NC[C@H](C)F)nn2)c1	0.043751
rxn:3:62154:38324:101160	Cc1ccc(-c2cn([C@@H](C)C(=O)NC[C@H](C)F)nn2)cc1	0.043751
rxn:3:62154:38166:101160	Cc1cccc(-c2cn([C@@H](C)C(=O)NC[C@H](C)F)nn2)c1	0.043751
rxn:3:61929:38261:101160	C[C@H](F)CNC(=O)[C@@H](C)n1cc(-c2ccc(F)cc2)nn1	0.043742
rxn:3:61929:38333:101160	C[C@H](F)CNC(=O)[C@@H](C)n1cc(-c2cccc(F)c2)nn1	0.043742
rxn:3:62154:38261:101160	C[C@H](F)CNC(=O)[C@H](C)n1cc(-c2ccc(F)cc2)nn1	0.043742
rxn:3:62154:38333:101160	C[C@H](F)CNC(=O)[C@H](C)n1cc(-c2cccc(F)c2)nn1	0.043742
