name	smiles	heuristic
rxn:3:59446:2758:111877	O=C(Nc1cc(C2CC2)cs1)[C@H]1C[C@@H](n2cc(CC(F)F)nn2)C1	0.035992
rxn:3:59958:7694:134901	Cc1cnc(C)c(-c2cn([C@@H]3CCC[C@@H](C(=O)NC4CCC4)C3)nn2)n1	0.035088
rxn:3:59446:8716:111877	O=C(Nc1cc(C2CC2)cs1)[C@H]1C[C@@H](n2cc(C3CC3(F)F)nn2)C1	0.034979
rxn:3:59446:39281:113902	CC(C)C(C)CCNC(=O)[C@H]1C[C@@H](n2cc(-c3nccn3C)nn2)C1	0.033466
rxn:3:59958:7694:76863	Cc1cnc(C)c(-c2cn([C@@H]3CCC[C@@H](C(=O)NC4CCCC4)C3)nn2)n1	0.033181
rxn:3:59446:5439:113902	Cc1nscc1-c1cn([C@H]2C[C@@H](C(=O)NCCC(C)C(C)C)C2)nn1	0.032782
rxn:3:59446:3054:113902	Cc1cscc1-c1cn([C@H]2C[C@@H](C(=O)NCCC(C)C(C)C)C2)nn1	0.032388
rxn:3:59446:2089:113902	Cc1csc(-c2cn([C@H]3C[C@@H](C(=O)NCCC(C)C(C)C)C3)nn2)c1	0.032388
rxn:3:61929:39780:69818	Cc1cc(-c2cn([C@H](C)C(=O)NCC3(C)CCCCC3(F)F)nn2)ncn1	0.032021
rxn:3:59446:710:111877	CCC(C)Cc1cn([C@H]2C[C@@H](C(=O)Nc3cc(C4CC4)cs3)C2)nn1	0.031923
rxn:3:59937:2665:68255	CC(C)c1ccc(NC(=O)C23CCC(n4cc(C(C)(C)F)nn4)C2C3)s1	0.031783
rxn:3:59446:465:113902	Cc1ccnc(-c2cn([C@H]3C[C@@H](C(=O)NCCC(C)C(C)C)C3)nn2)c1	0.031771
rxn:3:59446:411:113902	Cc1ccncc1-c1cn([C@H]2C[C@@H](C(=O)NCCC(C)C(C)C)C2)nn1	0.031771
rxn:3:59446:1079:113902	Cc1cnccc1-c1cn([C@H]2C[C@@H](C(=O)NCCC(C)C(C)C)C2)nn1	0.031771
rxn:3:59446:2530:113902	Cc1ncccc1-c1cn([C@H]2C[C@@H](C(=O)NCCC(C)C(C)C)C2)nn1	0.031771
rxn:3:59446:38326:113902	Cc1cc(-c2cn([C@H]3C[C@@H](C(=O)NCCC(C)C(C)C)C3)nn2)ccn1	0.031771
