name	smiles	heuristic
rxn:3:60038:413:92623	CSC1CCCC(NC(=O)C2CCCC(n3cc(-c4cncc(C)c4C)nn3)C2)C1	0.025388
rxn:3:59818:31525:74710	CCc1ccncc1-c1cn(-c2ccc(F)c(C(=O)NC(C)C3CC3)c2)nn1	0.025385
rxn:3:59818:31525:88530	CCc1ccncc1-c1cn(-c2ccc(F)c(C(=O)N[C@H](C)C3CC3)c2)nn1	0.025385
rxn:3:59818:31525:100584	CCc1ccncc1-c1cn(-c2ccc(F)c(C(=O)N[C@@H](C)C3CC3)c2)nn1	0.025385
rxn:3:64208:31848:104005	Cc1c(NC(=O)CC(C)(C)n2cc([C@H]3[C@@H]4CCCC[C@@H]43)nn2)sc2c1CCCC2	0.025333
rxn:3:59958:413:85964	Cc1cncc(-c2cn([C@@H]3CCC[C@@H](C(=O)N[C@H]4CCO[C@@H](C(C)C)C4)C3)nn2)c1C	0.025249
rxn:3:59958:413:90359	Cc1cncc(-c2cn([C@@H]3CCC[C@@H](C(=O)N[C@@H]4CCO[C@@H](C(C)C)C4)C3)nn2)c1C	0.025249
rxn:3:59958:413:106943	Cc1cncc(-c2cn([C@@H]3CCC[C@@H](C(=O)NC4CCOC(C(C)C)C4)C3)nn2)c1C	0.025249
rxn:3:60038:413:85964	Cc1cncc(-c2cn(C3CCCC(C(=O)N[C@H]4CCO[C@@H](C(C)C)C4)C3)nn2)c1C	0.025249
rxn:3:60038:413:90359	Cc1cncc(-c2cn(C3CCCC(C(=O)N[C@@H]4CCO[C@@H](C(C)C)C4)C3)nn2)c1C	0.025249
rxn:3:60038:413:106943	Cc1cncc(-c2cn(C3CCCC(C(=O)NC4CCOC(C(C)C)C4)C3)nn2)c1C	0.025249
rxn:3:59958:413:85782	Cc1cncc(-c2cn([C@@H]3CCC[C@@H](C(=O)NC(C(C)C)C4CCC4)C3)nn2)c1C	0.025164
rxn:3:60038:413:85782	Cc1cncc(-c2cn(C3CCCC(C(=O)NC(C(C)C)C4CCC4)C3)nn2)c1C	0.025164
rxn:3:59958:413:89613	Cc1cncc(-c2cn([C@@H]3CCC[C@@H](C(=O)NCC(C)C4CCCC4)C3)nn2)c1C	0.025160
rxn:3:60038:413:89613	Cc1cncc(-c2cn(C3CCCC(C(=O)NCC(C)C4CCCC4)C3)nn2)c1C	0.025160
rxn:3:59958:7660:68555	CC(C)C1CCCC(NC(=O)[C@@H]2CCC[C@@H](n3cc(-c4cnccc4C#N)nn3)C2)C1	0.025125
rxn:3:60038:7660:68555	CC(C)C1CCCC(NC(=O)C2CCCC(n3cc(-c4cnccc4C#N)nn3)C2)C1	0.025125
rxn:3:59818:31525:104409	CCc1ccncc1-c1cn(-c2ccc(F)c(C(=O)NC(C)(C)CC)c2)nn1	0.025060
rxn:3:59958:413:68563	Cc1cncc(-c2cn([C@@H]3CCC[C@@H](C(=O)NC4CCCCC(F)C4)C3)nn2)c1C	0.025019
rxn:3:59958:413:90884	Cc1cncc(-c2cn([C@@H]3CCC[C@@H](C(=O)N[C@H]4CCCC[C@@H](F)C4)C3)nn2)c1C	0.025019
rxn:3:60038:413:68563	Cc1cncc(-c2cn(C3CCCC(C(=O)NC4CCCCC(F)C4)C3)nn2)c1C	0.025019
rxn:3:60038:413:90884	Cc1cncc(-c2cn(C3CCCC(C(=O)N[C@H]4CCCC[C@@H](F)C4)C3)nn2)c1C	0.025019
rxn:3:59818:31525:83089	CCc1ccncc1-c1cn(-c2ccc(F)c(C(=O)NC3C4CCCC43)c2)nn1	0.024891
rxn:3:59958:413:90059	Cc1cncc(-c2cn([C@@H]3CCC[C@@H](C(=O)NC4CCCC5CC5CC4)C3)nn2)c1C	0.024887
rxn:3:59958:413:110913	Cc1cncc(-c2cn([C@@H]3CCC[C@@H](C(=O)NC4CCC5CCCC5C4)C3)nn2)c1C	0.024887
rxn:3:60038:413:90059	Cc1cncc(-c2cn(C3CCCC(C(=O)NC4CCCC5CC5CC4)C3)nn2)c1C	0.024887
rxn:3:60038:413:110913	Cc1cncc(-c2cn(C3CCCC(C(=O)NC4CCC5CCCC5C4)C3)nn2)c1C	0.024887
rxn:3:59818:31525:125756	CCc1ccncc1-c1cn(-c2ccc(F)c(C(=O)NC3CCC34CC4)c2)nn1	0.024819
rxn:3:59818:31525:81631	CCc1ccncc1-c1cn(-c2ccc(F)c(C(=O)NC3CC34CCC4)c2)nn1	0.024819
rxn:3:59818:31525:104093	CCc1ccncc1-c1cn(-c2ccc(F)c(C(=O)N[C@@H]3CC34CCC4)c2)nn1	0.024819
rxn:3:59818:31525:126153	CCc1ccncc1-c1cn(-c2ccc(F)c(C(=O)N[C@H]3CC34CCC4)c2)nn1	0.024819
rxn:3:59818:31525:88275	CCc1ccncc1-c1cn(-c2ccc(F)c(C(=O)NC3CC4(CC4)C3)c2)nn1	0.024819
rxn:3:59446:2607:109899	C=Cc1cccc(-c2cn([C@H]3C[C@@H](C(=O)Nc4ccc(CC)s4)C3)nn2)c1	0.024816
rxn:3:59446:6439:120442	Cn1cc(-c2csc(-c3cn([C@H]4C[C@@H](C(=O)NC5(C)CSC5)C4)nn3)c2)cn1	0.024803
rxn:3:59446:14045:120442	CC1(NC(=O)[C@H]2C[C@@H](n3cc(-c4cncc(-c5cccs5)c4)nn3)C2)CSC1	0.024782
rxn:3:59446:37911:120442	CC1(NC(=O)[C@H]2C[C@@H](n3cc(-c4cccc(-c5nccs5)c4)nn3)C2)CSC1	0.024782
rxn:3:59446:6418:120442	CC1(NC(=O)[C@H]2C[C@@H](n3cc(-c4ccc(-c5cccnc5)s4)nn3)C2)CSC1	0.024782
rxn:3:59446:6431:120442	CC1(NC(=O)[C@H]2C[C@@H](n3cc(-c4cc(-c5cccnc5)cs4)nn3)C2)CSC1	0.024782
