name	smiles	heuristic
rxn:3:59969:3197:85929	Cn1ccc2ccc(-c3cn([C@@H]4C[C@@]5(C(=O)NCCC6SCCS6)C[C@@H]45)nn3)cc21	0.021149
rxn:3:59446:3882:86440	CCSC(C)CCNC(=O)[C@H]1C[C@@H](n2cc(-c3cnc4c(ccn4C)c3)nn2)C1	0.021147
rxn:3:59446:8706:86440	CCSC(C)CCNC(=O)[C@H]1C[C@@H](n2cc(-c3ccc4cnn(C)c4c3)nn2)C1	0.021147
rxn:3:59446:37763:86440	CCSC(C)CCNC(=O)[C@H]1C[C@@H](n2cc(-c3ccc4c(cnn4C)c3)nn2)C1	0.021147
rxn:3:59446:14045:116706	CO[C@@H](C)CCNC(=O)[C@H]1C[C@@H](n2cc(-c3cncc(-c4cccs4)c3)nn2)C1	0.021133
rxn:3:59446:14045:126067	COC(C)CCNC(=O)[C@H]1C[C@@H](n2cc(-c3cncc(-c4cccs4)c3)nn2)C1	0.021133
rxn:3:59446:411:130015	CCc1ccc(NC(=O)[C@H]2C[C@@H](n3cc(-c4cnccc4C)nn3)C2)cc1C(C)C	0.021123
rxn:3:59446:1079:130015	CCc1ccc(NC(=O)[C@H]2C[C@@H](n3cc(-c4ccncc4C)nn3)C2)cc1C(C)C	0.021123
rxn:3:59446:2530:130015	CCc1ccc(NC(=O)[C@H]2C[C@@H](n3cc(-c4cccnc4C)nn3)C2)cc1C(C)C	0.021123
rxn:3:59969:14049:137723	Cc1cccc(-c2cncc(-c3cn([C@@H]4C[C@@]5(C(=O)NC67COC(C6)C7)C[C@@H]45)nn3)c2)c1	0.021112
rxn:3:60054:39084:103870	CSC(C)CCNC(=O)C12CC(Cn3cc(-c4ccc5ncnn5c4)nn3)(C1)C2	0.021111
rxn:3:59969:4578:85929	O=C(NCCC1SCCS1)[C@@]12C[C@@H](n3cc(-c4cnc5ccccc5c4)nn3)[C@@H]1C2	0.021104
rxn:3:59969:38356:85929	O=C(NCCC1SCCS1)[C@@]12C[C@@H](n3cc(-c4cccc5cnccc45)nn3)[C@@H]1C2	0.021104
rxn:3:59969:38977:85929	O=C(NCCC1SCCS1)[C@@]12C[C@@H](n3cc(-c4cccc5ccncc45)nn3)[C@@H]1C2	0.021104
rxn:3:60054:38602:121407	CC(C)C(C)(C)CCNC(=O)C12CC(Cn3cc(-c4ccc(CC#N)cc4)nn3)(C1)C2	0.021099
rxn:3:59446:1858:86440	CCSC(C)CCNC(=O)[C@H]1C[C@@H](n2cc(-c3cnc4cccnc4c3)nn2)C1	0.021097
rxn:3:59446:35061:86440	CCSC(C)CCNC(=O)[C@H]1C[C@@H](n2cc(-c3ccc4nccnc4c3)nn2)C1	0.021097
rxn:3:59969:1858:85929	O=C(NCCC1SCCS1)[C@@]12C[C@@H](n3cc(-c4cnc5cccnc5c4)nn3)[C@@H]1C2	0.021088
rxn:3:59969:35061:85929	O=C(NCCC1SCCS1)[C@@]12C[C@@H](n3cc(-c4ccc5nccnc5c4)nn3)[C@@H]1C2	0.021088
rxn:3:59969:27797:85929	O=C(NCCC1SCCS1)[C@@]12C[C@@H](n3cc(-c4cccc5nccnc45)nn3)[C@@H]1C2	0.021088
rxn:3:59937:7401:130698	CC(C)(CNC(=O)C12CCC(n3cc(-c4cnn5c4CCCC5)nn3)C1C2)CC1(C)COC1	0.021087
rxn:3:59446:23623:130015	CCc1ccc(NC(=O)[C@H]2C[C@@H](n3cc(C(C)n4ccnc4)nn3)C2)cc1C(C)C	0.021078
rxn:3:60054:37772:103870	CSC(C)CCNC(=O)C12CC(Cn3cc(-c4ccc(C(C)(F)F)cc4)nn3)(C1)C2	0.021067
rxn:3:59446:37843:86440	CCSC(C)CCNC(=O)[C@H]1C[C@@H](n2cc(-c3cnc4c(cnn4C)c3)nn2)C1	0.021057
rxn:3:59446:37769:86440	CCSC(C)CCNC(=O)[C@H]1C[C@@H](n2cc(-c3cc4sccc4s3)nn2)C1	0.021017
rxn:3:60054:7663:121407	CC(C)c1nccc(-c2cn(CC34CC(C(=O)NCCC(C)(C)C(C)C)(C3)C4)nn2)n1	0.021012
rxn:3:59446:12156:130015	CCc1ccc(NC(=O)[C@H]2C[C@@H](n3cc(C4CC(N5CCCC5)C4)nn3)C2)cc1C(C)C	0.021005
rxn:3:59446:7401:98998	CCc1ccc(CC)c(NC(=O)[C@H]2C[C@@H](n3cc(-c4cnn5c4CCCC5)nn3)C2)c1	0.021000
rxn:3:59446:7401:75237	CCc1cccc(CC)c1NC(=O)[C@H]1C[C@@H](n2cc(-c3cnn4c3CCCC4)nn2)C1	0.021000
rxn:3:59446:7401:84545	CCc1ccc(NC(=O)[C@H]2C[C@@H](n3cc(-c4cnn5c4CCCC5)nn3)C2)cc1CC	0.021000
rxn:3:59446:7401:115309	CCc1ccc(NC(=O)[C@H]2C[C@@H](n3cc(-c4cnn5c4CCCC5)nn3)C2)c(CC)c1	0.021000
rxn:3:60054:39459:121407	CC(C)C(C)(C)CCNC(=O)C12CC(Cn3cc(-c4ccc5c(c4)CCN5C)nn3)(C1)C2	0.020989
rxn:3:60054:38579:121407	CC(C)C(C)(C)CCNC(=O)C12CC(Cn3cc(-c4ccc(N(C)C)cc4)nn3)(C1)C2	0.020983
rxn:3:60054:963:121407	CC(C)C(C)(C)CCNC(=O)C12CC(Cn3cc(-c4cccc(N(C)C)c4)nn3)(C1)C2	0.020983
