name	smiles	heuristic
rxn:4:198086:229233	COc1ccc(-c2scnc2Cl)s1	0.060692
rxn:4:198100:229233	COc1ccc(-c2scnc2C)s1	0.058519
rxn:4:216366:229233	COc1ccc(-c2c[nH]nc2C#N)s1	0.058240
rxn:4:194899:229233	COc1ccc(-c2scnc2OC)s1	0.057685
rxn:4:207974:229319	N#Cc1ncsc1-c1ccc(Cl)s1	0.057498
rxn:4:195024:229233	CCc1ncsc1-c1ccc(OC)s1	0.056996
rxn:4:207974:223421	CNC(C)c1ccc(-c2scnc2C#N)s1	0.056829
rxn:4:207970:229233	COc1ccc(-c2nc(C#N)cs2)s1	0.056034
rxn:4:207971:229233	COc1ccc(-c2ncc(C#N)s2)s1	0.056034
rxn:4:207972:229233	COc1ccc(-c2cnc(C#N)s2)s1	0.056034
rxn:4:207974:229236	COc1csc(-c2scnc2C#N)c1	0.056034
rxn:4:207974:229235	COc1ccsc1-c1scnc1C#N	0.056034
rxn:4:207978:229233	COc1ccc(-c2ncsc2C#N)s1	0.056034
rxn:4:207980:229233	COc1ccc(-c2csnc2C#N)s1	0.056034
rxn:4:207976:229233	COc1ccc(-c2csc(C#N)n2)s1	0.056034
rxn:4:207974:229272	COc1ncc(-c2scnc2C#N)s1	0.055877
rxn:4:207974:229271	COc1cc(-c2scnc2C#N)sn1	0.055877
rxn:4:207974:229317	N#Cc1ncsc1-c1ccc(F)s1	0.055789
rxn:4:207974:229202	CCc1ccc(-c2scnc2C#N)s1	0.055586
rxn:4:203041:223457	CCN(CC)c1nc(-c2cc(C)n[nH]2)cs1	0.055459
rxn:4:207974:229288	Cc1ccc(-c2scnc2C#N)s1	0.055282
rxn:4:207987:229233	COc1ccc(-c2sc(Cl)nc2C#N)s1	0.055151
rxn:4:207986:229233	COc1ccc(-c2nc(C#N)c(Cl)s2)s1	0.055151
rxn:4:207974:229053	COCc1ccc(-c2scnc2C#N)s1	0.054853
rxn:4:204965:229233	COc1ccc(-c2scnc2CC#N)s1	0.054847
rxn:4:194875:229233	COc1ccc(-c2scnc2C(F)F)s1	0.054815
rxn:4:209206:229233	COc1ccc(-c2cc(C(C)(C)C)n[nH]2)s1	0.054183
rxn:4:207974:228990	CCCc1ccc(-c2scnc2C#N)s1	0.054109
rxn:4:195266:229233	COc1ccc(-c2scnc2C2CC2)s1	0.054040
rxn:4:207979:229233	COc1ccc(-c2ocnc2C#N)s1	0.053991
rxn:4:207983:229233	COc1ccc(-c2cnc(C#N)o2)s1	0.053991
rxn:4:191263:229336	FC(F)Oc1cncc(-c2cncs2)c1	0.053985
rxn:4:195273:229233	COc1ccc(-c2c[nH]c(C(C)=O)c2)s1	0.053968
rxn:4:191436:229233	CCCc1ncsc1-c1ccc(OC)s1	0.053905
rxn:4:195499:229233	COc1ccc(-c2scnc2C(C)C)s1	0.053816
rxn:4:207974:229234	CSc1ccc(-c2scnc2C#N)s1	0.053693
rxn:4:208021:229233	COc1ccc(-c2nc(C#N)c(C)s2)s1	0.053644
rxn:4:207974:229081	CN(C)c1ccc(-c2scnc2C#N)s1	0.053549
rxn:4:198087:229157	N#Cc1nccc(-c2csc(Cl)n2)n1	0.052973
rxn:4:207974:229011	N#Cc1ncsc1-c1ccc(C2CC2)s1	0.052836
rxn:4:207974:229222	Cc1cc(-c2scnc2C#N)sc1C	0.052752
rxn:4:207974:229014	CC(C)c1ccc(-c2scnc2C#N)s1	0.052707
rxn:4:207974:229226	N#Cc1ccc(-c2scnc2C#N)s1	0.052660
rxn:4:207974:228692	CN(C)Cc1ccc(-c2scnc2C#N)s1	0.052465
