name	smiles	heuristic
rxn:4:191660:229065	CC(C)Oc1nc(-c2ccnc(C#N)c2)cs1	0.049051
rxn:4:191660:229058	CC(C)Oc1nc(-c2cccnc2C#N)cs1	0.049051
rxn:4:191660:229060	CC(C)Oc1nc(-c2ccc(C#N)nc2)cs1	0.049051
rxn:4:191660:229059	CC(C)Oc1nc(-c2cnccc2C#N)cs1	0.049051
rxn:4:191660:229063	CC(C)Oc1nc(-c2ccncc2C#N)cs1	0.049051
rxn:4:195020:223152	CCc1csc(-c2ccc(NC(=O)N(C)C)cc2)n1	0.049049
rxn:4:208036:229011	N#Cc1ncccc1-c1ccc(C2CC2)s1	0.049041
rxn:4:207974:228511	N#Cc1ncsc1-c1ccc(C2CC2)cc1	0.049041
rxn:4:207974:228513	N#Cc1ncsc1-c1ccccc1C1CC1	0.049041
rxn:4:207974:228514	N#Cc1ncsc1-c1cccc(C2CC2)c1	0.049041
rxn:4:191661:223353	CCc1nc(OC)sc1-c1cccc(NC(C)=O)c1	0.049022
rxn:4:215341:229234	CCn1cnc(C#N)c1-c1ccc(SC)s1	0.049013
rxn:4:204965:229086	CC(=O)c1ccc(-c2scnc2CC#N)s1	0.048999
rxn:4:208354:229150	CN(C)c1nc(-c2cnc(C#N)nc2)cs1	0.048994
rxn:4:208354:229151	CN(C)c1nc(-c2cnc(C#N)cn2)cs1	0.048994
rxn:4:208354:229156	CN(C)c1nc(-c2cncc(C#N)n2)cs1	0.048994
rxn:4:208353:229157	CN(C)c1ncc(-c2ccnc(C#N)n2)s1	0.048994
rxn:4:195026:229157	CCc1nc(-c2ccnc(C#N)n2)co1	0.048991
rxn:4:195019:229157	CCc1cc(-c2ccnc(C#N)n2)on1	0.048991
rxn:4:195021:229157	CCc1coc(-c2ccnc(C#N)n2)n1	0.048991
rxn:4:208220:229157	N#Cc1nccc(-c2nsc(C3CC3)n2)n1	0.048977
rxn:4:208200:229157	N#Cc1nccc(-c2nnc(C3CC3)s2)n1	0.048977
rxn:4:208219:229157	N#Cc1nccc(-c2nc(C3CC3)ns2)n1	0.048977
rxn:4:191958:229157	CC(C)Cc1ncc(-c2ccnc(C#N)n2)s1	0.048960
rxn:4:191970:229157	CC(C)Cc1cnc(-c2ccnc(C#N)n2)s1	0.048960
rxn:4:191960:229150	CC(C)Cc1nc(-c2cnc(C#N)nc2)cs1	0.048960
rxn:4:191960:229151	CC(C)Cc1nc(-c2cnc(C#N)cn2)cs1	0.048960
rxn:4:191960:229156	CC(C)Cc1nc(-c2cncc(C#N)n2)cs1	0.048960
rxn:4:191969:229157	CCC(C)c1ncc(-c2ccnc(C#N)n2)s1	0.048956
rxn:4:191964:229157	CCC(C)c1cnc(-c2ccnc(C#N)n2)s1	0.048956
rxn:4:191967:229150	CCC(C)c1nc(-c2cnc(C#N)nc2)cs1	0.048956
rxn:4:191967:229151	CCC(C)c1nc(-c2cnc(C#N)cn2)cs1	0.048956
rxn:4:191967:229156	CCC(C)c1nc(-c2cncc(C#N)n2)cs1	0.048956
rxn:4:205302:229065	CCN(C)c1nc(-c2ccnc(C#N)c2)cs1	0.048952
rxn:4:207974:227935	CCc1cc(-c2scnc2C#N)ccc1OC	0.048950
rxn:4:191971:229157	CCc1nc(CC)c(-c2ccnc(C#N)n2)s1	0.048950
rxn:4:194899:228698	CCC(=O)c1ccc(-c2scnc2OC)s1	0.048944
