name	smiles
rxn:3:40762:23149:111267	CCC1(CNC(=O)c2ccc(F)cc2C=CCn2cc(C3CN(CC(F)F)C3)nn2)CC(F)(F)C1
rxn:3:60038:5439:66212	COc1cc(C2(NC(=O)C3CCCC(n4cc(-c5csnc5C)nn4)C3)CC2)cc(OC)c1OC
rxn:3:57355:31361:86861	N#CC1CC(c2cn(CCCc3ccc(C(=O)NCC4COc5cc6c(cc54)CCCC6)o3)nn2)C1
rxn:3:52381:31326:71263	O=C(NC1CC2CCC1C2)c1ncc(C2CC2CCn2cc(-c3ccsc3C(F)(F)F)nn2)cn1
rxn:3:63565:6999:93726	Cc1cc(C)c(N2CC(Cn3cc(-c4nccnc4C#N)nn3)CC2=O)c(C(=O)NC(C)C(C)(C)F)c1
rxn:3:52746:7761:130861	CO[C@@H]1CCCC[C@@H]1NC(=O)c1ccc(C2CC2CCn2cc(C3(C)CCCN3C3CC3)nn2)c(C)c1
rxn:3:63988:31588:110021	Cc1cc(C(C)NC(=O)CN2CC(Cn3cc(-c4ccc(C#N)nc4C)nn3)CC2=O)c(C(C)(C)C)o1
rxn:3:55879:10954:69818	Cc1nc(C)n(Cc2cn(CC3CC3c3cccnc3C(=O)NCC3(C)CCCCC3(F)F)nn2)n1
rxn:3:64208:17879:84315	COc1sc2c(c1CNC(=O)CC(C)(C)n1cc(-c3nccn3C3CCSC3)nn1)CCSC2
rxn:3:49115:6495:68642	COc1ccc2c(c1)CCCCC2NC(=O)C(Cn1cc(-c2cnn(C3CCCC3)c2)nn1)OC
rxn:3:62746:979:71190	CCc1csc(SCc2cn(CC3CC(=O)N([C@@H](C)C(=O)Nc4ccc(C)cc4)C3)nn2)n1
rxn:3:59969:35797:125285	Cc1ccc(-c2cncc(-c3cn([C@@H]4C[C@@]5(C(=O)NC(C)(C)CC6CCCO6)C[C@@H]45)nn3)c2)c(C)c1
rxn:3:62737:17573:118778	CCc1cc(-c2cn(CC3CC(=O)N([C@@H](CC)C(=O)N[C@H]4C[C@H](OC(C)(C)C)C4)C3)nn2)nn1C(C)(C)C
rxn:3:40768:2758:100723	COc1cc(NC(=O)c2cccc(C)c2C=CCn2cc(CC(F)F)nn2)cc(C(C)C)c1
rxn:3:62828:39782:129850	Cc1nc(-c2cn(CC3CC(=O)N([C@H](C(=O)NC4CCCCC4OC(C)(C)C)C4CC4)C3)nn2)nc(C)c1C
rxn:3:57293:2841:74203	CC(Cc1cn(CCCc2ccsc2C(=O)NCC23C4C5C6C4C2C6C53)nn1)c1ccccc1
rxn:3:50160:28657:128229	C[C@H]1OC[C@@H]1NC(=O)c1ccc(C2C(Cn3cc(-c4ccc(F)cc4C(F)F)nn3)C2(F)F)cc1
rxn:3:57293:7654:82575	CC1(C)SCC1NC(=O)c1sccc1CCCn1cc(-c2ncnc3ccsc23)nn1
rxn:3:41106:31490:122887	COc1cc(C=CCn2cc(-c3cccc(C(C)C)n3)nn2)cc(C(=O)NC2COCC23CCC3)c1
rxn:3:62758:23175:109223	CC1COC(CNC(=O)C[C@@H](C)N2CC(Cn3cc(C4CCN(CC(F)(F)F)CC4)nn3)CC2=O)CO1
rxn:3:48005:30489:110994	Cn1ncc(-c2cn(-c3ccsc3C(=O)Nc3ccc4c(c3)CC3(COC3)C4)nn2)c1C1CC1
rxn:3:50786:1251:96733	Cc1nn(C)c(C(=O)N[C@@H]2CCC[C@@H](F)C2)c1C1C(Cn2cc(-c3ccc(N(C)C)nc3)nn2)C1(F)F
rxn:3:60340:27836:67180	CC[C@H]1OC[C@H]1NC(=O)c1ccc(-n2cc(-c3ccc4c(C)c(C)c(C)cc4n3)nn2)c(C)c1
rxn:3:54396:282:134413	Cc1nc(Cc2cn(CCC3C(c4ccc(F)c(C(=O)NC5(C)CCCO5)c4)C3(F)F)nn2)cs1
rxn:3:62772:82:70995	CC(F)(c1cn(CC2CC(=O)N(C(C(=O)NCC3COCCO3)c3ccc(F)cc3F)C2)nn1)C1CCC1
rxn:3:50986:6355:75410	Cc1cc(-c2cn(CC3C(c4cc(F)ccc4CC(=O)NC4CC45COC5)C3(F)F)nn2)ncc1F
rxn:3:56129:12213:127348	CCc1cccc(NC(=O)c2cc(F)ccc2C2CC2Cn2cc([C@@H]3CN(C)C[C@H]3F)nn2)c1OC
rxn:3:53167:3937:87870	Cc1ccc(C(=O)NCC2CCOC2C(C)C)c(-n2cc(-c3ccnc4c3ccn4C)nn2)c1
rxn:3:50426:23817:91580	Cc1nc(C2C(Cn3cc(C4(n5ccnn5)CCCC4)nn3)C2(F)F)sc1C(=O)NCC1CCS1
rxn:3:55887:31732:129776	CC(CNC(=O)c1cc(C2CC2Cn2cc(C3(C#N)CCCCC3)nn2)ccn1)CC1CCCCC1
rxn:3:64509:31836:106560	Cc1cc(C#N)ncc1-c1cn(-c2cncc(C(=O)NC(C)C(C)c3ccccc3C)c2)nn1
